150_headxflow,,132_headxflow,,123_headxflow,,all_npshxflow,,150_powerxflow,,132_powerxflow,,123_powerxflow,,150_effxflow,,132_effxflow,,123_effxflow,
X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y
1.2976085864476756,37.547124327773034,1.2976085864476756,303.83527664918665,1.269615532386255,292.6106396574039,1.269615532386255,1.6146882764954498,1.2987458420010913,0.7294323501664941,1.2987458420010913,0.35861837762394533,1.270728254149959,0.11039257692523119,1.2976085864476756,20.03856681286669,1.2976085864476756,23.063846808133007,1.269615532386255,26.781831101380988
1.3395981675398057,37.528520936398415,1.3395981675398057,303.7928661819633,1.311605113478386,292.539955545365,1.311605113478385,1.6652158031629725,1.3407722237777904,0.7321768614764315,1.3407722237777904,0.36105794323277696,1.312754635926658,0.11405192533848041,1.3395981675398057,20.321303261022422,1.3395981675398057,23.33244643388099,1.311605113478386,27.092841194352275
1.3815877486319357,37.46650963181636,1.3815877486319357,303.6656347802932,1.353594694570516,292.4268609661027,1.353594694570516,1.7056801216940656,1.3827986055544885,0.7343114813841591,1.3827986055544885,0.36349750884161036,1.3547810177033561,0.11557665384400106,1.3815877486319357,20.589902886770403,1.3815877486319357,23.61518288203672,1.353594694570516,27.389714464915755
1.4235773297240666,37.45410737089995,1.4235773297240666,303.60908749066203,1.395584275662646,292.4127241436949,1.395584275662646,1.7528532456494474,1.4248249873311867,0.7367510469929925,1.4248249873311867,0.365022237347131,1.3968073994800543,0.11771127375172963,1.4235773297240666,20.900912979741634,1.4235773297240666,23.926192975008064,1.395584275662646,27.743135025110462
1.4655669108161966,37.39209606631789,1.4655669108161966,303.4677192665842,1.437573856754777,292.31376638684037,1.437573856754776,1.806735175029111,1.4668513691078848,0.7379708297974084,1.4668513691078848,0.36746180295596265,1.4388337812567524,0.12076073076277094,1.4655669108161966,21.18364942789742,1.4655669108161966,24.265476712794907,1.437573856754777,28.025871473266193
1.5075564919083266,37.37349267494327,1.5075564919083266,303.4535824441764,1.479563437846907,292.24308227480145,1.479563437846907,1.850553896272352,1.5088777508845839,0.7404103954062409,1.5088777508845839,0.3708162056681079,1.4808601630334515,0.12259040496939466,1.5075564919083266,21.438112231237596,1.5075564919083266,24.562349983358445,1.479563437846907,28.294471099014174
1.5495460730004575,37.317682500819416,1.5495460730004575,303.36876150972967,1.521553018939037,292.1017140507236,1.521553018939037,1.894372617515593,1.550904132661282,0.7419351239117615,1.550904132661282,0.3720359884725237,1.5228865448101496,0.12533491627933202,1.5495460730004575,21.749122324208827,1.5495460730004575,24.830949609106426,1.521553018939037,28.64789165920888
1.5915356540925876,37.274274587611984,1.5915356540925876,303.2698037528752,1.5635426000311679,292.073440405908,1.563542600031167,1.9449001441831228,1.5929305144379802,0.7440697438194901,1.5929305144379802,0.37447555408135713,1.5649129265868478,0.12655469908374783,1.5915356540925876,22.031858772364615,1.5915356540925876,25.113686057262157,1.5635426000311679,28.930628107364555
1.6335252351847185,37.22466554394634,1.6335252351847185,303.1142987063895,1.6055321811232979,291.93207218183016,1.6055321811232979,1.9954276708506455,1.6349568962146783,0.7458994180261147,1.6349568962146783,0.3766101739890848,1.606939308363546,0.1299091017958931,1.6335252351847185,22.28632157570479,1.6335252351847185,25.39642250541783,1.6055321811232979,29.25577502274365
1.6755148162768485,37.17505650028069,1.6755148162768485,303.08602506157393,1.647521762215428,291.8896617146068,1.647521762215428,2.0358919893817387,1.6769832779913774,0.7477290922327384,1.6769832779913774,0.37813490249460546,1.648965690140245,0.13204372170362078,1.6755148162768485,22.583194846268327,1.6755148162768485,25.67915895357362,1.647521762215428,29.52437464849163
1.7175043973689785,37.13164858707325,1.7175043973689785,302.95879365990385,1.6895113433075588,291.7624303129367,1.689511343307558,2.0797107106249655,1.7190096597680755,0.7501686578415718,1.7190096597680755,0.3817942509078547,1.6909920719169431,0.13417834161134934,1.7175043973689785,22.86593129442406,1.7175043973689785,25.96189540172935,1.6895113433075588,29.82124791905511
1.7594939784611094,37.08824067386581,1.7594939784611094,302.83156225823376,1.7315009243996888,291.73415666812116,1.7315009243996888,2.136947042716784,1.7610360415447737,0.7513884406459876,1.7610360415447737,0.38331897941337534,1.7330184536936413,0.1369228529212858,1.7594939784611094,23.09212045294862,1.7594939784611094,26.230495027477332,1.7315009243996888,30.075710722395286
1.8014835595532395,37.04483276065837,1.8014835595532395,302.7326045013793,1.7734905054918189,291.5503779768199,1.7734905054918189,2.180765763960018,1.8030624233214718,0.7544378976570281,1.8030624233214718,0.385453599321103,1.7750448354703403,0.13936241853011833,1.8014835595532395,23.37485690110435,1.8014835595532395,26.527368298040813,1.7734905054918189,30.33017352573546
1.8434731406453695,36.982821456076316,1.8434731406453695,302.6053730997092,1.8154800865839498,291.4231465751498,1.8154800865839498,2.2279388879154,1.8450888050981709,0.755047789059236,1.8450888050981709,0.3878931649299364,1.8170712172470385,0.14088714703563898,1.8434731406453695,23.643456526852333,1.8434731406453695,26.753557456565375,1.8154800865839498,30.598773151483442
1.8854627217375004,36.93941354286888,1.8854627217375004,302.4640048756313,1.8574696676760798,291.3807361079265,1.8574696676760798,2.2784664145829296,1.887115186874869,0.7580972460702764,1.887115186874869,0.38972283913656014,1.8590975990237366,0.1439366040466794,1.8854627217375004,23.912056152600258,1.8854627217375004,27.00802025990555,1.8574696676760798,30.881509599639173
