191_headxflow,,170_headxflow,,154_headxflow,,140_headxflow,,all_npshxflow,,191_powerxflow,,170_powerxflow,,154_powerxflow,,140_powerxflow,,191_effxflow,,170_effxflow,,154_effxflow,,140_effxflow,
X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y
3.4037310869490636,63.59802413782555,2.4282294198593704,45.530962968056826,3.6948081972903424,33.44541341861229,4.53657173260161,23.53192116146424,0.9554121282303738,12.432713912574286,3.4012520402724817,5.260654484935451,2.4264608623795034,2.3813032080344527,3.69997836898162,1.6957433802008737,4.5332676016965845,1.0814817744619987,3.409702451118923,21.847231042790895,2.4360000073645303,28.429989485544695,3.710954479632248,30.2913211831509,4.544582216551477,29.30769061124522
3.4981344740867755,63.57574662713533,2.522632806997084,45.47526919133128,3.828546329068768,33.44541341861229,4.630975119739322,23.45394987404846,0.9921385903645854,12.63075893880199,3.495586670391157,5.282592399426122,2.520795492498179,2.3922721652797847,3.7943129991002955,1.7121968160688752,4.62760223181526,1.0897084923959994,3.504159608149415,22.043957157172088,2.5304695728318194,28.672113934013794,3.8054116366627397,30.48804729753209,4.639022828999575,29.443885613509053
3.5925378612244874,63.50891409506467,2.617036194134796,45.430714169950846,3.9937522565597643,33.311748354470964,4.725378506877034,23.342562320597352,1.028863493187365,12.806798962115522,3.5899213005098325,5.307272553228131,2.615130122616854,2.414210079770463,3.888647629218971,1.7259080126255526,4.721936861933935,1.1006774496413314,3.598625037471102,22.270948827611903,2.6249350021535065,28.89910560445361,3.8998729298388284,30.69990618994251,4.733459305302073,29.564947837743603
3.686941248362201,63.45322031833911,2.711439581272508,45.40843665926063,4.172069765597666,33.133528268949206,4.819781894014747,23.242313522491358,1.0655915146330077,13.02684899125751,3.684255930628508,5.320983749784801,2.7094647527355296,2.425179037015795,3.9829822593376463,1.7286502519368838,4.816271492052611,1.1006774496413314,3.693086330647194,22.482807720022322,2.719404567620794,29.141230052922708,3.9943259507237237,30.881499526294363,4.827899917750173,29.701142840007492
3.781344635499913,63.39752654161356,2.8058429684102197,45.34160412718997,4.324164111541757,33.04441822618833,4.914185281152459,23.142064724385378,1.1023210953900815,13.268904023313553,3.7785905607471832,5.345663903586811,2.803799382854205,2.447116951506473,4.077316889456322,1.7451036878048924,4.910606122171286,1.1116464068866705,3.787547623823283,22.694666612432854,2.813878269233678,29.398487279421147,4.088787243899812,31.093358418704895,4.922340530198271,29.837337842271324
3.875748022637625,63.3306940095429,2.9002463555479316,45.29704910580952,4.481503090104612,32.910753162047,5.008588668290171,23.0529546816245,1.139047557524293,13.466949049541313,3.8729251908658586,5.364859578766151,2.8981340129728803,2.458085908751805,4.171651519574997,1.7588148843615627,5.004940752289961,1.1198731248206713,3.8820171892905684,22.936791060901896,2.908351970846562,29.65574450591953,4.183240264784706,31.27495175505669,5.0167811426463675,29.973532844535214
3.9701514097753368,63.28613898816246,2.9946497426856435,45.274771595119304,4.623108170811179,32.777088097905676,5.102992055427883,22.94156712817339,1.1757755789699358,13.6869990786833,3.967259820984534,5.3840552539454976,2.9924686430915557,2.480023823242483,4.265986149693672,1.7642993629842323,5.099275382408637,1.1335843213773487,3.976478482466659,23.14864995331243,3.0028215363138493,29.897868954388628,4.277697421815196,31.47167786943777,5.111213482803269,30.07946229074048
4.064554796913049,63.2193064560918,3.0890531298233572,45.20793906304864,4.759468618898985,32.68797805514481,5.197395442565595,22.841318330067395,1.2125036004155776,13.907049107825173,4.061594451103208,5.4087354077475,3.086803273210231,2.490992780487815,4.360320779812346,1.780752798852241,5.193610012527312,1.1335843213773487,4.070943911788346,23.375641623752188,3.097286965635538,30.124860624828443,4.372154578845688,31.668403983818962,5.205654095251367,30.21565729300437
4.158958184050761,63.163612679366246,3.183456516961069,45.163384041668195,4.901073699605554,32.554312991003485,5.291798829703307,22.7410695319614,1.2492316218612203,14.127099136967104,4.155929081221883,5.4251888436155085,3.1811379033289064,2.5156729342898245,4.454655409931021,1.791721756097573,5.2879446426459875,1.1418110393113494,4.165405204964436,23.587500516162606,3.1917606672484222,30.382117851326825,4.466603463584981,31.834864542141474,5.300082299262668,30.30645396118024
4.253361571188474,63.06336388126026,3.277859904098781,45.09655150959753,5.042678780312121,32.42064792686216,5.386202216841019,22.651959489200536,1.285959643306863,14.34714916610909,4.250263711340558,5.4471267581061795,3.275472533447582,2.5266418915351636,4.548990040049697,1.7999484740315808,5.382279272764663,1.1527799965566814,4.25985822584933,23.76909385251446,3.2862219604245126,30.593976743737358,4.561052348324278,32.00132510046399,5.39451050327397,30.397250629356165
4.347764958326186,63.00767010453471,3.372263291236493,45.0519964882171,5.181661544709311,32.24242784134039,5.4806056039787325,22.540571935749426,1.3226876647525057,14.567199195251021,4.344598341459234,5.471806911908189,3.369807163566257,2.5485798060258418,4.643324670168372,1.8164019098995823,5.476613902883338,1.1664911931133588,4.35431951902542,23.980952744924878,3.380691525891798,30.8361011922064,4.655501233063571,32.1677856587865,5.48895111572207,30.533445631620054
4.442168345463898,62.918560061773825,3.466666678374205,44.98516395614644,5.307532727559593,32.108762777199075,5.575008991116444,22.440323137643432,1.3594156861981483,14.787249224392895,4.438932971577909,5.485518108464859,3.464141793684931,2.5595487632711738,4.7376593002870475,1.824628627833583,5.570948533002014,1.1664911931133588,4.448772539910312,24.16254608127673,3.475152819067887,31.047960084616932,4.749954253948465,32.349378995138295,5.5833751835877745,30.609109521766584
