all_npshxflow,,149_headxflow,,135_headxflow,,129_headxflow,,121_headxflow,,104_headxflow,,149_powerxflow,,135_powerxflow,,129_powerxflow,,121_powerxflow,,104_powerxflow,,149_effxflow,,135_effxflow,,129_effxflow,,121_effxflow,,104_effxflow,
X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y
1.7709206078075503,1.1722043969102813,9.697469840930925,39.77438665556314,7.685655314757479,30.856561435384975,5.673840788584034,25.37076841547431,4.346043201309559,21.365593660887797,1.7709206078075503,13.375713528654714,9.697469840930925,5.821498777628108,7.685655314757479,4.264017362670266,5.673840788584034,3.439288030733934,4.346043201309559,2.5317791747742433,1.7709206078075503,1.651863493489003,9.697469840930925,26.02960629921256,7.577017330344109,28.55857217847779,5.673840788584034,24.029658792650935,4.346043201309559,39.169046369203784,1.7709206078075503,30.739160104986922
2.0123383509483617,1.1722043969102813,9.938887584071736,39.74027102732986,7.927073057898291,30.815622681505047,5.915258531724845,25.32300653594772,4.587460944450374,21.304185530067898,2.0123383509483617,13.321128523481477,9.938887584071736,5.833762410816753,7.927073057898291,4.282412812453231,5.915258531724845,3.445419847328253,4.587460944450374,2.544042807962896,2.0123383509483617,1.6549294017861627,9.938887584071736,26.58873140857395,7.806364186327887,28.997270341207354,5.915258531724845,24.674803149606305,4.587460944450374,39.857200349956315,2.0123383509483617,31.51333333333332
2.2537560940891765,1.1722043969102813,10.180305327212551,39.72662477603655,8.168490801039106,30.77468392762512,6.15667627486566,25.275244656421144,4.828878687591185,21.256423650541308,2.2537560940891765,13.259720392661585,10.180305327212551,5.858289677194037,8.168490801039106,4.291610537344717,6.15667627486566,3.4730130220027036,4.828878687591185,2.5532405328543746,2.2537560940891765,1.6702589432719748,10.180305327212551,27.212370953630852,8.047781929468698,29.642414698162725,6.15667627486566,25.27693788276474,4.828878687591185,40.52384951881015,2.2537560940891765,32.287506561679834
2.495173837229988,1.1722043969102813,10.421723070353366,39.67886289650997,8.40990854417992,30.733745173745184,6.398094018006475,25.20701339995459,5.070296430732,21.195015519721416,2.495173837229988,13.211958513134995,10.421723070353366,5.867487402085523,8.40990854417992,4.310005987127681,6.398094018006475,3.4730130220027036,5.070296430732,2.5532405328543746,2.495173837229988,1.6702589432719748,10.421723070353366,27.836010498687642,8.289199672609513,30.22304461942258,6.398094018006475,25.90057742782153,5.070296430732,41.1904986876641,2.495173837229988,33.04017497812765
2.7365915803708027,1.1722043969102813,10.66314081349418,39.65157039392335,8.651326287320732,30.692806419865256,6.639511761147286,25.14560526913469,5.3117141738728115,21.133607388901517,2.7365915803708027,13.164196633608405,10.66314081349418,5.892014668462814,8.651326287320732,4.319203712019167,6.639511761147286,3.4730130220027036,5.3117141738728115,2.5685700743401867,2.7365915803708027,1.6702589432719748,10.66314081349418,28.459650043744546,8.530617415750324,30.803674540682437,6.639511761147286,26.502712160979968,5.3117141738728115,41.835643044619474,2.7365915803708027,33.7068241469816
2.9780093235116176,1.1722043969102813,10.904558556634989,39.60380851439676,8.892744030461547,30.65186766598532,6.880929504288101,25.0978433896081,5.553131917013626,21.085845509374927,2.9780093235116176,13.095965377141859,10.904558556634989,5.9012123933542995,8.892744030461547,4.334533253504972,6.880929504288101,3.500606196677154,5.553131917013626,2.5777677992316654,2.9780093235116176,1.6702589432719748,10.904558556634989,29.08328958880145,8.77203515889114,31.362799650043712,6.880929504288101,27.104846894138177,5.553131917013626,42.50229221347331,2.9780093235116176,34.39497812773402
3.219427066652429,1.1722043969102813,11.145976299775803,39.57651601181014,9.134161773602358,30.610928912105393,7.1223472474289125,25.03643525878821,5.794549660154441,21.024437378555035,3.219427066652429,13.034557246321967,11.145976299775803,5.92573965973159,9.134161773602358,4.352928703287944,7.1223472474289125,3.5098039215686327,5.794549660154441,2.5838996158259846,3.219427066652429,1.6702589432719748,11.145976299775803,29.663919510061305,9.01345290203195,31.943429571303568,7.1223472474289125,27.663972003499566,5.794549660154441,43.125931758530214,3.219427066652429,35.126141732283486
3.460844809793244,1.1722043969102813,11.387394042916618,39.54240038357686,9.375579516743173,30.583636409518768,7.363764990569727,24.97502712796831,6.035967403295253,20.969852373381798,3.460844809793244,12.986795366795377,11.387394042916618,5.941069201217388,9.375579516743173,4.355994611585103,7.363764990569727,3.5098039215686327,6.035967403295253,2.5900314324203038,3.460844809793244,1.6702589432719748,11.387394042916618,30.266054243219628,9.254870645172765,32.524059492563424,7.363764990569727,28.26610673665789,6.035967403295253,43.72806649168854,3.460844809793244,35.79279090113744
3.702262552934055,1.1722043969102813,11.628811786057433,39.49463850405028,9.616997259883984,30.52905140434553,7.605182733710542,24.920442122795073,6.2773851464360675,20.9084442425619,3.702262552934055,12.925387235975485,11.628811786057433,5.959464651000353,9.616997259883984,4.3774559696652275,7.605182733710542,3.5190016464601257,6.2773851464360675,2.602295065608942,3.702262552934055,1.6886543930549465,11.628811786057433,30.825179352581017,9.49628838831358,33.08318460192481,7.605182733710542,28.846736657917745,6.2773851464360675,44.35170603674544,3.702262552934055,36.41643044619423
