192_headxflow,,177_headxflow,,168_headxflow,,157_headxflow,,152_headxflow,,all_npshxflow,,192_powerxflow,,177_powerxflow,,168_powerxflow,,157_powerxflow,,152_powerxflow,,192_effxflow,,177_effxflow,,168_effxflow,,157_effxflow,,152_effxflow,
X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y
6.44684246015165,71.11588234184647,5.133145388869359,53.11859471784231,4.31208471931793,41.29773022512428,2.587857313259917,28.17044892198409,1.520478442843057,20.180432370052515,1.5282588142168407,1.1364308400209495,6.422750266291004,11.766354342928679,5.119459060528698,7.12236234493119,4.304876041884505,4.230499195995037,2.5855938965039016,1.6958662007509702,1.520621294382238,0.39452778372967146,6.451541324918537,5.1520319360711255,5.136886748482247,8.280951902330798,4.315227638209564,11.553181180022307,2.5897435066369354,9.49908104950066,1.5215866632824486,5.199801706548328
6.939478861882513,71.03191626032819,5.625781790600222,53.02254294286304,4.804721121048786,41.18959275668398,3.08049371499078,28.074397147004802,2.013114844573913,20.06020920815122,2.0209359667486098,1.14238305806888,6.915495988044192,11.868420101126446,5.6122672183844955,7.1989116635795085,4.797684199740296,4.307048514643327,3.0784228663939004,1.7639100395494722,2.0134710763064376,0.45406614267838563,6.944536791082143,6.0596575751388855,5.629882214645853,9.236347311875875,4.80822310437317,12.50857658956727,3.0827389728005414,10.430591573806964,2.0145821294460617,6.0596575751388855
7.432115263613369,70.9358644853489,6.118418192331077,52.914405474422736,5.297357522779649,41.1177123686267,3.573130116721636,27.990431065486504,2.5057512463047757,19.952071739710917,2.513717739418098,1.1636164941044527,7.40824170979738,11.970485859324185,6.105075376240286,7.2754609822277985,5.2904715455619,4.392103313141462,3.5712102122154974,1.8489648380475785,2.5062792341622355,0.530615461326704,7.437532257245749,6.919513443729329,6.122877680809459,10.191742721420724,5.301218570536783,13.368432458157713,3.5757344389641545,11.362102098113269,2.5075775956096678,6.919513443729329
7.924751665344232,70.86398409729165,6.61105459406194,52.80626800598243,5.7899939245105045,40.997489206725376,4.065766518452499,27.90646498396822,2.9983876480356315,19.843934271270612,3.0064158159774124,1.1726249557499102,7.901008243584776,12.064046137672136,6.597862722061883,7.360515780725933,5.783321327486092,4.451641672090119,4.064080806173898,1.899997717146448,2.9991082040522272,0.5986593001251777,7.930527723409355,7.874908853274292,6.6158731469730725,11.147138130965686,5.794214036700389,14.323827867702676,4.068729905127761,12.317497507658345,3.0005730617732738,7.779369312319773
8.417388067075095,70.76793232231235,7.103690995792796,52.71021623100313,6.282630326241367,40.9014374317461,4.5584029201833545,27.810413208988948,3.4910240497664944,19.711625415908273,3.4991766646193554,1.1908021481879487,8.393753965337972,12.166111895869875,7.09065006788348,7.445570579224068,6.276108673307682,4.536696470588282,4.55690977606389,1.96804155594495,3.491957985976434,0.6581976590738634,8.423523189572968,8.782534492341938,7.1088686131366785,12.102533540510649,6.287209502863995,15.231453506770322,4.561725371291367,13.225123146725991,3.493568527936887,8.543685639955697
8.91002446880595,70.67188054733306,7.596327397523659,52.58999306910184,6.775266727972223,40.81747135022782,5.051039321914217,27.71436143400966,3.9836604514973573,19.60348794746797,3.9919375132612984,1.2089793406259943,8.88652049912536,12.259672174217798,7.583458225739271,7.522119897872386,6.768937643197688,4.604740309386756,5.049697121885487,2.0530963544430847,3.984766143832225,0.7347469777221818,8.916518655736574,9.642390360932382,7.6018640793002845,13.034044064817067,6.780204969027608,16.091309375360765,5.05472083745498,14.204403441509498,3.986563994100493,9.355771738068938
9.402660870536813,70.58791446581478,8.088963799254522,52.493941294122536,7.267903129703086,40.709333881787515,5.543675723645073,27.630395352491377,4.476296853228213,19.507436172488696,4.484572817737977,1.2088190714788567,9.379266220878549,12.361737932415537,8.076245571560868,7.6071746963704925,7.261724989019278,4.6897951078848905,5.542546903809686,2.1126347133917704,4.4775951137222165,0.8027908165206838,9.40951412190018,10.502246229522825,8.094859545463898,13.941669703884713,7.273200435191214,16.951165243951323,5.547716303618586,15.0881441953386,4.479559460264099,10.143972950943521
9.895297272267669,70.49186269083549,8.581600200985378,52.37371813222123,7.760539531433942,40.61328210680823,6.036312125375936,27.546429270973093,4.968933254959076,19.387213010587374,4.977438286517639,1.2422774819045586,9.872032754665945,12.455298210763488,8.569053729416659,7.683724015018811,7.754574770943471,4.749333466833576,6.035375873699678,2.180678552190244,4.970444895646423,0.8623291754693696,9.902509588063793,11.314332327636066,8.587855011627504,14.84929534295236,7.76619590135482,17.811021112541766,6.040711769782192,15.948000063929044,4.972554926427712,10.884404393340901
10.387933673998532,70.41998230277822,9.07423660271624,52.27766635724191,8.253175933164805,40.51723033182894,6.528948527106799,27.450377495993806,5.461569656689932,19.279075542147055,5.47009451502187,1.2451734563549408,10.364778476419133,12.557363968961226,9.061841075238256,7.768778813516917,8.247382928799276,4.825882785481866,6.528184031555476,2.2572278708385625,5.463253053502214,0.938878494117688,10.3955050542274,12.150303310987852,9.08085047779111,15.733036096781461,8.259191367518433,18.67087698113221,6.533707235945805,16.807855932519487,5.465550392591318,11.624835835738168
