146_headxflow,,135_headxflow,,109_headxflow,,104_headxflow,,all_npshxflow,,146_powerxflow,,135_powerxflow,,109_powerxflow,,104_powerxflow,,146_effxflow,,135_effxflow,,109_effxflow,,104_effxflow,
X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y
3.5281638930351438,37.601039113172035,3.092339176620383,28.285267482235326,2.0675367983034896,16.24426639282791,2.547264546824282,12.009863822766171,2.109630724029378,0.6519253646301735,3.5605479387048913,2.4296632589695903,3.077647533366285,1.493773780301069,2.111846722689073,0.5458771664821356,2.594747128027679,0.09494253527763163,3.056940070366023,13.391466096256636,3.0744181025862574,13.477502070977152,2.109630724029378,7.1590200875060646,2.5920244133078167,17.94793131745257
3.6539584029645447,37.5258759137812,3.3229973580555843,28.202922132405014,2.1933587400574837,16.212674074835768,2.6730786509141087,11.965822681517267,2.340340749336457,0.7001664208982064,3.7915003064755286,2.4570128445899826,3.3085999011369225,1.5191221767297272,2.3427990904597102,0.5598854908242892,2.8256994957983164,0.10828379655587028,3.2991356597035413,14.73264403361344,3.3051281278933367,14.654474205153122,2.340340749336457,8.408262440447174,2.822734438614898,19.228146621293206
3.7797568317260293,37.45693712601875,3.5536469893116944,28.10699624811278,2.3191728441473103,16.16863293358687,2.7988927550039335,11.921781540268356,2.5710507746435383,0.7470674478254793,4.022452674246166,2.48369536714646,3.53955226890756,1.5438035100944703,2.5737514582303476,0.575227941294262,3.0566518635689537,0.11962386864237473,3.5148645145361375,15.624959999999987,3.535838153200416,15.769500437530382,2.5710507746435383,9.667829110354944,3.053444463921977,20.45674034030145
3.905563098151685,37.40044716151307,3.7843030332021232,28.02125576466699,2.444986948237135,16.12459179233796,2.92469118376542,11.852842752505907,2.8017607999506176,0.7953085040935122,4.253405042016803,2.51304614195859,3.770504636678197,1.5698189695870362,2.8047038260009867,0.5912374548281498,3.287604231339593,0.13163100379279058,3.7525657527313108,16.76063486631017,3.766548178507497,16.87420235294121,2.8017607999506176,10.906747146329565,3.2841544892290564,21.644036791443853
4.031365445745255,37.337732785379,4.01495693954778,27.93212014760571,2.5708010523269618,16.080550651089048,3.0505092066873285,11.815026022885391,3.032470825257697,0.8408695016799967,4.484357409787442,2.5403957275789786,4.001457004448836,1.5958344290796056,3.035656193771624,0.6072469683620376,3.51855659911023,0.14297107587929503,4.0212280765737525,17.977429365928174,3.9972582038145763,17.94793131745257,3.032470825257697,12.155989499270731,3.5148645145361375,22.831333242586254
4.157171712170909,37.281242820873324,4.245608708348662,27.83958939692895,2.6966151564167866,16.036509509840144,3.176323310777155,11.77098488163648,3.263180850564776,0.8931306459703805,4.71530977755808,2.567745313199371,4.2324093722194736,1.6205157624443487,3.2666085615422613,0.622589418832014,3.7495089668808674,0.15497821102970732,4.2759079746400115,19.242895645531007,4.227968229121656,19.00101164803118,3.263180850564776,13.312312999513892,3.7455745398432168,23.956683791930004
4.282977978596566,37.224752856367644,4.476254064515224,27.736873245405754,2.8224253416745277,15.986243956962845,3.3021217395386397,11.702046093874031,3.493890875871857,0.9413717022384205,4.946262145328717,2.5964290249475894,4.463361739990111,1.6458641588730032,3.4975609293128986,0.6385989323659018,3.9804613346515048,0.16831947230794952,4.5111123510894355,20.205515294117617,4.458678254428737,20.012794710743833,3.493890875871857,14.447987865824075,3.976284565150296,25.061385707340776
4.40878424502222,37.168262891861964,4.706903695771333,27.640947361113504,2.9482394457643526,15.942202815713948,3.42793976246055,11.664229364253508,3.7246009011789365,0.9896127585064676,5.177214513099356,2.623778610567978,4.694314107760748,1.6712125553016577,3.728513297083536,0.6546084458997861,4.211413702422142,0.18099367052227677,4.748813589284609,21.26547850267383,4.689388279735816,20.99360482255713,3.7246009011789365,15.542365464268357,4.206994590457375,26.11446603791927
4.5345826737837065,37.09932410409952,4.937555464572215,27.548416610436746,3.0740535498541774,15.898161674465037,3.5537538665503767,11.620188223004597,3.955310926486016,1.0445539614783996,5.408166880869993,2.6517952592522818,4.9252664755313855,1.6972280147942271,3.959465664854175,0.6692838333058511,4.442366070192779,0.19233374260878122,5.01098407258811,22.36329754010694,4.920098305042895,21.98473925133692,3.955310926486016,16.636743062712696,4.437704615764456,27.16754636849788
4.66038894020936,37.042834139593836,5.168198683193999,27.44230532529805,3.199867653944004,15.854120533216125,3.6795522953118596,11.551249435242148,4.186020951793097,1.094135047087228,5.639119248640631,2.6784777818087626,5.156218843302023,1.7205752220311474,4.190418032624812,0.6852933468397424,4.6733184379634185,0.20233968856745932,5.26965894944756,23.423260748663154,5.1508083303499745,22.934576412250806,4.186020951793097,17.669174759358327,4.668414641071536,28.13803216334469
4.786195206635018,36.98634417508816,5.398844039360565,27.339589173774847,3.325681758033829,15.810079391967228,3.8053703182337717,11.513432705621632,4.416730977100176,1.1423761033552609,5.870071616411268,2.7031591151735057,5.38717121107266,1.7445894923319756,4.42137040039545,0.6993016711818925,4.904270805734056,0.21034444533440322,5.507360187642735,24.369656470588268,5.381518355657054,23.86376493923194,4.416730977100176,18.670633505104547,4.899124666378615,29.13949090909091
4.911997554228588,36.923629798954096,5.629485120437579,27.230082755020675,3.45149194329157,15.75981383908993,3.931180503491511,11.463167152744333,4.647441002407255,1.1946372476456446,6.101023984181905,2.729841637729983,5.6181235788432975,1.7659355103771617,4.652322768166087,0.7139770585879575,5.135223173504693,0.22702102193220597,5.708707118819824,25.141915379679176,5.612228380964133,24.78262914924653,4.647441002407255,19.661767933884335,5.129834691685694,30.048030802139067
