201_headxflow,,186_headxflow,,175_headxflow,,167_headxflow,,156_headxflow,,all_npshxflow,,201_powerxflow,,186_powerxflow,,175_powerxflow,,167_powerxflow,,156_powerxflow,,201_effxflow,,186_effxflow,,175_effxflow,,167_effxflow,,156_effxflow,
X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y
10.098349673313049,77.82703567671685,7.3626453998714645,57.562116748782515,4.576279936180963,45.718137156990466,3.411072560455846,35.917569428837254,1.5366085212458707,21.717809280875542,1.5727858784363882,1.0757376581755906,10.10570998648602,13.00477566714494,7.3680117594923615,8.94626148637019,4.579615417184016,6.957223905882387,3.413558764945975,5.348443509899596,1.537728498302176,3.2424037187948613,10.130235429913238,16.672727944479675,7.394131620270951,17.315871010725687,4.6125206373687995,9.662468522397603,3.4474331225038917,9.469525602523845,1.5743141885029424,7.304277279495409
10.402316814806557,77.76195886577293,7.666612541364973,57.53608602440495,4.880247077674472,45.65306034604653,3.7150397019493546,35.865507980082114,1.8405756627393828,21.652732469931635,1.8765311180419424,1.0758813559865885,10.409898678374198,13.063276772453406,7.672200451380547,8.990137315351546,4.883804109072194,7.0157250111908525,3.717747456834161,5.40694461520809,1.8419171901903582,3.2643416332855395,10.433803035206044,17.315871010725687,7.697645954070335,18.044766485804644,4.916061606914891,10.34848779306003,3.750947456303269,10.198421077602688,1.8777619329355382,8.140363265615292
10.706283956300066,77.68386669264024,7.970579682858489,57.45799385127225,5.1842142191679805,45.54893744853628,4.019006843442863,35.82646189351577,2.1445428042328913,21.61368638336529,2.180276357647493,1.0760250537975864,10.714087370262384,13.121777877761872,7.976389143268733,9.034013144332903,5.18799280096038,7.037662925681531,4.021936148722347,5.436195167862309,2.146105882078544,3.308217462266896,10.737357322625495,17.98045217918002,8.001186923616427,18.73078575646707,5.219615894334343,11.013068961514364,4.054448472229293,10.94875465488974,2.1812229952414945,8.955011149526968
11.010251097793581,77.64482060607389,8.274546824351997,57.37990167813956,5.488181360661496,45.47084527540359,4.322973984936372,35.74836972038307,2.4485099457264,21.548609572421384,2.4840215972530473,1.0761687516085843,11.01827606215057,13.172966344906797,8.280577835156912,9.0852016114778,5.492181492848566,7.088851392826427,4.326124840610525,5.465445720516527,2.450294573966726,3.330155376757574,11.040911610044947,18.645033347634126,8.304714575289164,19.438243129337707,5.523156863880434,11.699088232176791,4.357976123902031,11.656212027760375,2.484710693294165,9.726782829022227
11.31421823928709,77.57974379512997,8.578513965845506,57.34085559157322,5.792148502155005,45.379737740082106,4.62694112642988,35.69630827162793,2.7524770872199085,21.470517399288696,2.787766836858598,1.0763124494195822,11.322464754038755,13.231467450215234,8.584766527045097,9.121764802295587,5.796370184736745,7.110789307317106,4.630313532498711,5.523946825824993,2.754483265854912,3.352093291248252,11.344492533211113,19.266738311672157,8.608242226961902,20.145700502208342,5.826684515553172,12.406545605047427,4.661463821954701,12.427983707255635,2.788198391346832,10.498554508517486
11.618185380780599,77.52768234637485,8.882481107339014,57.262763418440514,6.096115643648513,45.288630204760636,4.930908267923396,35.65726218506158,3.056444228713417,21.44448667491112,3.0915120764641486,1.0764561472305871,11.626653445926934,13.2899685555237,8.888955218933283,9.172953269440484,6.10055887662493,7.169290412625571,4.934502224386897,5.538572102152131,3.058671957743094,3.39596912022958,11.648046820630565,19.931319480126263,8.91176987863464,20.853157875078978,6.130238802972624,13.07112677350176,4.964951520007364,13.199755386750894,3.0916461357794276,11.33464049463737
11.922152522274107,77.46260553543094,9.186448248832523,57.22371733187417,6.400082785142022,45.19752266943915,5.2348754094169045,35.592185374117676,3.360411370206929,21.366394501778416,3.395257316069703,1.076599845041585,11.93084213781512,13.341157022668625,9.193143910821469,9.2095164602583,6.404747568513116,7.191228327116249,5.238690916275075,5.597073207460568,3.36286064963128,3.4179070347202583,11.95161442592337,20.574462546372388,9.215310848180739,21.539177145741405,6.433779772518722,13.757146044164188,5.268479171680102,13.907212759621643,3.3950938802120234,12.170726480757253
12.226119663767616,77.38451336229824,9.490415390326032,57.15864052093026,6.7040499266355305,45.10641513411767,5.538842550910413,35.51409320098499,3.6643785117004377,21.30131769083451,3.6990025556752535,1.076743542852583,12.235030829703305,13.39965812797709,9.497332602709648,9.260704927403197,6.708936260401302,7.249729432424715,5.542879608163261,5.6116984837877055,3.667049341519462,3.4471575873745053,12.255182031216176,21.2176056126184,9.51886513560019,22.20375831419574,6.737334059938174,14.421727212618407,5.57200682335284,14.614670132492279,3.6986082140114043,12.899621955836096
12.530086805261124,77.34546727573189,9.79438253181954,57.080548347797574,7.008017068129039,45.02832296098498,5.842809692403922,35.47504711441864,3.9683456531939463,21.262271604268165,4.002747795280801,1.0768872406635808,12.539219521591484,13.450846595121988,9.801521294597833,9.304580756384524,7.0131249522894805,7.278979985078962,5.847068300051447,5.662886950932602,3.9712380334076443,3.491033416355833,12.558762954382342,21.839310576656317,9.822406105146289,22.889777584858166,7.04091498310434,15.04343217665621,5.875534475025585,15.322127505362914,4.002135865684149,13.607079328706845
