201_1_headxflow,,186_1_headxflow,,175_1_headxflow,,167_1_headxflow,,156_1_headxflow,,all_1_npshxflow,,201_1_powerxflow,,186_1_powerxflow,,175_1_powerxflow,,167_1_powerxflow,,156_1_powerxflow,,201_1_effxflow,,186_1_effxflow,,175_1_effxflow,,167_1_effxflow,,156_1_effxflow,
X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y
24.986345464795168,79.98980532705883,23.098965542712236,66.97072446336526,21.176634140590732,59.34837056437758,20.37275009970356,53.04800559627908,19.079545338276365,43.9195883583037,19.076592254264067,1.9523896081039211,24.98210617749857,14.836462991937907,23.095871510222725,11.457801440430003,21.174706571330663,9.80195289626755,20.37131032415762,8.462663632606763,19.078890274357505,6.709412232905379,24.971946595347642,49.86262687362674,23.086626731586176,50.08926107686898,21.16936031751255,47.38475958484486,20.366512355700163,47.32432379731361,19.07564724207092,46.56132197973142
25.196054345026603,79.94797023430917,23.308674422943675,66.94562340771546,21.38634302082217,59.30653547162791,20.582458979934994,53.01453752207935,19.2892542185078,43.87775326555405,19.28630145848531,1.9522828858625871,25.191687807195883,14.885164419707394,23.30545313992004,11.494327511257111,21.38428820102798,9.850654324037038,20.580891953854938,8.51136506037625,19.288471904054823,6.727675268318933,25.181172066584214,50.08926107686898,23.295821661187645,50.34611317387686,21.378562882522797,47.63405720841135,20.575707285301636,47.58117589432152,19.284803994628525,46.85594644394632
25.405763225258042,79.89776812300958,23.51838330317511,66.89542129641588,21.596051901053606,59.23959932322846,20.792167860166433,52.98943646642957,19.49896309873924,43.85265220990425,19.49601066270655,1.9521761636212531,25.401269436893198,14.933865847476866,23.51503476961736,11.53085358208422,21.593869830725296,9.868917359450592,20.790473583552252,8.535715774261007,19.498053533752138,6.764201339146041,25.390389902412007,50.32344975355264,23.50503186160667,50.587856324001905,21.587780718350594,47.86824588509501,20.784894579494335,47.845582464770786,19.4939683825949,47.14301643471984
25.615472105489477,79.87266706735979,23.728092183406545,66.84521918511629,21.80576078128504,59.18939721192888,21.00187674039787,52.93923435512997,19.708671978970674,43.8108171171546,19.70571986692779,1.9520694413799191,25.610851066590516,14.976479596775178,23.724616399314673,11.573467331382517,21.80345146042261,9.911531108748903,21.000055213249567,8.560066488145736,19.707635163449453,6.782464374559595,25.599607738239808,50.55763843023624,23.71423442661692,50.83715394756837,21.796990918769616,48.10998903522005,20.994097144504583,48.09488008833725,19.703148041378824,47.414977478610524
25.825180985720916,79.83083197461013,23.937801063637984,66.8201181294665,22.01546966151648,59.13082808207935,21.211585620629304,52.90576628093024,19.918380859202113,43.760615005855016,19.91542907114903,1.951962719138585,25.82043269628783,15.02518102454465,23.934198029011988,11.60390572373845,22.01303309011993,9.929794144162457,21.209636842946885,8.608767915915223,19.91721679314677,6.800727409973149,25.80884084488515,50.77671816003712,23.923436991627167,51.08645157113483,22.006193483779864,48.359286658786516,21.20327680328851,48.36684113222793,19.91232770016275,47.68693852250121
26.03488986595235,79.7973639004104,24.14750994386942,66.77828303671683,22.225178541747916,59.07225895222984,21.421294500860743,52.88066522528045,20.12808973943355,43.743880968755136,20.125138275370272,1.951855996897251,26.030014325985146,15.073882452314137,24.143779658709306,11.646519473036747,22.222614719817244,9.978495571931944,21.4192184726442,8.620943272857602,20.126798422844086,6.837253480800257,26.018058680712947,51.01090683672072,24.132639556637415,51.33574919470129,22.21541131960766,48.593475335470174,21.41245646207243,48.63880217611862,20.121484452720352,47.98156298671611
26.244598746183787,79.75552880766074,24.35721882410086,66.74481496251711,22.434887421979354,59.013689822380314,21.631003381092178,52.83883013253079,20.337798619664987,43.69367885745555,20.334847479591513,1.951749274655917,26.239595955682464,15.116496201612435,24.35336128840662,11.67695786539268,22.43219634951456,9.996758607345498,21.628800102341515,8.66964470062706,20.3363800525414,6.855516516213811,26.227284151949522,51.23754103996299,24.341849757056437,51.57749234482634,22.424621520026683,48.83521848559522,21.621659027082682,48.88809979968508,20.33064120527795,48.27618745093105
26.454307626415225,79.70532669636115,24.566927704332294,66.69461285121753,22.64459630221079,58.955120692530784,21.840712261323617,52.788628021231204,20.547507499896422,43.6518437647059,20.54455668381275,1.951642552414583,26.44917758537978,15.165197629381922,24.562942918103936,11.719571614690963,22.641777979211874,10.045460035114985,21.83838173203883,8.681820057569439,20.545961682238715,6.87986723009854,26.43650962318609,51.46417524320523,24.551067592884234,51.81168102151,22.633846991263255,49.06185268883746,21.830861592092926,49.13739742325154,20.539836134879426,48.53303954793893
26.66401650664666,79.68022564071136,24.776636584563732,66.65277775846786,22.85430518244223,58.90491858123119,22.050421141555052,52.763526965581406,20.757216380127858,43.6267427090561,20.75426588803399,1.951535830173249,26.658759215077094,15.20781137868022,24.77252454780125,11.756097685518085,22.851359608909192,10.069810748999714,22.047963361736148,8.72443380686775,20.755543311936034,6.916393300925677,26.645742729831436,51.683254973006086,24.760277793303256,52.053424171635044,22.843064827091048,49.29604136552112,22.040064157103178,49.386695046818005,20.749038699889674,48.78233717150539
26.8737253868781,79.6383905479617,24.986345464795168,66.62767670281806,23.064014062673664,58.83798243283175,22.26013002178649,52.730058891381674,20.966925260359297,43.57654059775652,20.963975092255232,1.9514291079319221,26.86834084477441,15.262600484920881,24.98210617749857,11.792623756345193,23.060941238606507,10.100249141355647,22.257544991433463,8.754872199223684,20.96512494163335,6.928568657868055,26.85499110729433,51.887225755924106,24.969495629131053,52.2876128483187,23.052290298327623,49.52267556876336,22.249266722113422,49.635992670384496,20.958225994082373,49.04674374195466
27.083434267109535,79.59655545521204,25.196054345026603,66.5858416100684,23.2737229429051,58.78778032153216,22.469838902017926,52.68822379863202,21.176634140590732,43.55143954210672,21.173684296476473,1.9513223856905881,27.077922474471727,15.305214234219193,25.191687807195883,11.829149827172301,23.27052286830382,10.142862890653959,22.467126621130777,8.779222913108413,21.174706571330663,6.952919371752785,27.064231849348452,52.098751012283486,25.178705829550076,52.52935599844375,23.261515769564195,49.7493097720056,22.458469287123673,49.88529029395096,21.167405652866297,49.31870478584534
27.293143147340974,79.55472036246238,25.405763225258042,66.54400651731875,23.483431823136538,58.72921119168263,22.67954778224936,52.65475572443229,21.38634302082217,43.50960444935707,21.383393500697714,1.9512156634492541,27.28750410416904,15.34782798351749,25.401269436893198,11.871763576470613,23.48010449800114,10.161125926067513,22.676708250828096,8.821836662406724,21.38428820102798,6.995533121051096,27.273464955993795,52.31783074208437,25.387923665377873,52.763544675127406,23.470733605391988,49.98349844868926,22.66767185213392,50.13458791751742,21.37658531165022,49.590665829736025
27.50285202757241,79.51288526971273,25.615472105489477,66.5021714245691,23.693140703367973,58.67900908038305,22.8892566624808,52.621287650232574,21.596051901053606,43.45940233805747,21.593102704918955,1.9511089412079201,27.497085733866356,15.396529411286977,25.610851066590516,11.902201968826532,23.689686127698454,10.209827353837,22.88628988052541,8.834012019349075,21.593869830725296,7.0016207995222715,27.482705698047916,52.52935599844375,25.59715677202322,52.98262440492823,23.679966712037338,50.202578178490086,22.876889687961718,50.36877659420108,21.585780241251697,49.84751792674393
27.712560907803844,79.46268315841314,25.825180985720916,66.46033633181943,23.902849583599412,58.60370591343366,23.098965542712236,52.562718520383044,21.80576078128504,43.42593426385774,21.802811909140196,1.951002218966586,27.706667363563675,15.44523083905645,25.82043269628783,11.944815718124843,23.89926775739577,10.228090389250553,23.095871510222725,8.882713447118562,21.80345146042261,7.032059191878204,27.69194644010204,52.740881254803185,25.806382243259787,53.20925860817047,23.88919981868268,50.42165790829091,23.086092252971966,50.61807421776754,21.79499044167072,50.08926107686898
27.922269788035283,79.42084806566348,26.03488986595235,66.41013422051984,24.112558463830847,58.53676976503421,23.308674422943675,52.52925044618331,22.01546966151648,43.367365134008224,22.012498879561157,1.9582193105367907,27.91624899326099,15.487844588354761,26.030014325985146,11.975254110480762,24.108849387093084,10.276791817020012,23.30545313992004,8.900976482532116,22.01303309011993,7.068585262705312,27.901202452973706,52.93729756427979,26.015607714496362,53.435892811412714,24.0984405607368,50.63318316465035,23.29531008879976,50.85226289445117,22.00420064208974,50.331004226994
28.13197866826672,79.37064595436388,26.244598746183787,66.36829912777019,24.322267344062283,58.48656765373462,23.51838330317511,52.47904833488373,22.225178541747916,43.32553004125856,22.2221710274486,1.9703189446480351,28.125830622958304,15.536546016124234,26.239595955682464,12.01786785977906,24.318431016790402,10.295054852433566,23.51503476961736,8.931414874888048,22.222614719817244,7.0746729411764875,28.110443195027827,53.148822820639225,26.224833185732933,53.662527014654955,24.30768130279092,50.844708421009784,23.504535560036334,51.078897097693414,22.21340320709999,50.58030185056049
28.341687548498157,79.32881086161423,26.454307626415225,66.3180970164706,24.53197622429372,58.41963150533517,23.728092183406545,52.43721324213408,22.434887421979354,43.26696091140904,22.431850586602803,1.9799773074887526,28.33541225265562,15.58524744389372,26.44917758537978,12.048306252134978,24.528012646487717,10.337668601731878,23.724616399314673,8.974028624186332,22.43219634951456,7.10511133353242,28.319706843308268,53.33768465667444,26.434066292378276,53.88160674445584,24.516922044845042,51.05623367736919,23.713745760455357,51.32064024781849,22.422621042927783,50.814490527244146
28.551396428729593,79.27860875031465,26.66401650664666,66.267894905171,24.741685104525157,58.35269535693571,23.937801063637984,52.38701113083448,22.64459630221079,43.22512581865938,22.641559790824044,1.9798705852474185,28.544993882352937,15.627861193192004,26.658759215077094,12.084832322962086,24.737594276185032,10.362019315616635,23.934198029011988,8.992291659599914,22.641777979211874,7.141637404359528,28.528955220771163,53.54165543959246,26.64329176361485,54.10824094769808,24.72615515149039,51.275313407170046,23.92297123169193,51.54727445106073,22.63183124334681,51.05623367736919
28.761105308961028,79.22840663901505,26.8737253868781,66.21769279387141,24.951393984756596,58.294126227086196,24.14750994386942,52.3368090195349,22.85430518244223,43.16655668880986,22.851268995045285,1.9797638630060845,28.754575512050252,15.676562620961505,26.86834084477441,12.121358393789208,24.94717590588235,10.398545386443743,24.143779658709306,9.034905408898197,22.851359608909192,7.147725082830732,28.738203598234062,53.74562622251048,26.852532505668968,54.31976620405746,24.935411164362055,51.47172971664665,24.132189067519725,51.78146312774436,22.84104144376583,51.29797682749427
