123_1_headxflow,,120_1_headxflow,,111_1_headxflow,,all_1_npshxflow,,123_1_powerxflow,,120_1_powerxflow,,111_1_powerxflow,,123_1_effxflow,,120_1_effxflow,,111_1_effxflow,
X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y
2.5168035944967246,26.264742258305223,2.7610704071963936,24.06130286750548,3.270717372050816,20.33555484353497,2.5078636366529095,2.145476907481296,2.5117813008230154,0.690165335876288,2.7563457534645384,0.6140780726117816,3.2664373261168578,0.5411713058824486,2.508722786640164,35.43784406725945,2.7525032955295408,40.02010903992243,3.2615395407239176,45.397369381336546
2.5587430940012186,26.208911868335633,2.803007645445724,23.994306399541973,3.3126523490449835,20.257392297577542,2.5498037504857667,2.1637327837276956,2.5537066355615625,0.6938351395707176,2.7982710882030855,0.6175032227265831,3.308362660855404,0.5448411095768781,2.5505798012393064,35.74700893288497,2.7943710301309586,40.25198268914153,3.303424121043197,45.507785404774154
2.6006810860022704,26.1456374263701,2.844943376191614,23.919865879582524,3.3545903410460354,20.194117855612014,2.5917320410431754,2.167383958976977,2.5956319703001096,0.6975049432651472,2.8401964229416317,0.6211730264210127,3.350287995593951,0.5482662596916787,2.5924383472673447,36.045132196166605,2.836235701874583,40.5059395430481,3.3453087013624754,45.61820142821182
2.642619831755043,26.086085010402538,2.8868821219443856,23.86031346361496,3.396525318040204,20.115955309654588,2.633672154876032,2.185639835223377,2.637557305038656,0.7011747469595768,2.8821217576801788,0.6248428301154423,3.3922133303324973,0.5514467562268512,2.634296893295384,36.3432554594483,2.8781019050471044,40.74885479461096,3.3871902188239615,45.75070065633702
2.6845563162526536,26.01536651644106,2.9288178526902757,23.785872943655512,3.4384618025378137,20.04523681569311,2.6756004454334406,2.189291010472658,2.679482639777203,0.7045998970743783,2.924047092418726,0.6282679802302438,3.4341386650710444,0.5548719063416527,2.6761539078945256,36.65242032507376,2.919969639648522,40.98072844383006,3.4290732677143443,45.87215828211845
2.7264958157571466,25.95953612647147,2.970756598443048,23.72632052768795,3.480399040787145,19.978240347729603,2.717542037175728,2.2093724743436987,2.72140797451575,0.7080250471891789,2.965972427157272,0.6316931303450435,3.4760639998095915,0.5582970564564524,2.7180139853514613,36.93950198601169,2.96183737424994,41.212602093049156,3.4709578480336236,45.98257430555611
2.768433054006478,25.892539658507967,3.0126923291889374,23.651880007728497,3.5223347715330333,19.903799827770154,2.759471805642568,2.2148492372176207,2.763333309254296,0.7116948508836085,3.007897761895819,0.6348736268802169,3.5179893345481377,0.5614775529916258,2.7598771256661894,37.20450044226209,3.0037051088513578,41.44447574226825,3.5128408969240064,46.104031931337545
2.8103710460075297,25.829265216542435,3.0546295674382677,23.58488353976499,3.5642705022789234,19.829359307810705,2.8014119194754246,2.2331051134640205,2.8052586439928433,0.7156093081576671,3.0498230966343662,0.6382987769950175,3.5599146692866848,0.5646580495267974,2.801738734552021,37.48054050085625,3.0455697805949824,41.69843259617488,3.554723945814389,46.225489557118976
2.8523090380085816,25.7659907745769,3.096565298184157,23.510443019805543,3.6062062330248117,19.754918787851253,2.843338732123403,2.2349307010886577,2.8471839787313895,0.7192791118520967,3.0917484313729124,0.6417239271098181,3.601840004025231,0.5680831996415989,2.8435988120089566,37.76762216179412,3.08744210948309,41.89718143836262,3.596613120420358,46.30278077352534
2.894246276257912,25.698994306613393,3.1385017826817667,23.439724525844063,3.648140456267259,19.673034215895857,2.8852803238656906,2.2550121649597017,2.8891093134699366,0.7227042619668964,3.1336737661114595,0.6453937308042477,3.643765338763778,0.5717530033360285,2.885460420894788,38.043662220388285,3.129312906942301,42.10697188289424,3.638499232168533,46.40215519461924
2.936182007003802,25.624553786653944,3.1804382671793765,23.369006031882588,3.690076187013148,19.598593695936405,2.9272130481513923,2.2641401030829016,2.9310346482084837,0.7261294120816979,3.1755991008500057,0.6488188809190492,3.685690673502325,0.5749334998712001,2.9273266240673093,38.28657747195115,3.1711852358304076,42.30572072508198,3.6803868753456057,46.49048801336937
2.9781192452531324,25.55755731869044,3.222373244173545,23.290843485925166,3.732011917759037,19.524153175976956,2.9691487282559565,2.276919216455383,2.97295998294703,0.7297992157761275,3.217524435588553,0.6522440310338498,3.7276160082408714,0.5783586499860016,2.969191295810934,38.54053432585778,3.213057564718515,42.50446956726978,3.722276049951575,46.56777922977568
3.0200549759990207,25.48311679873099,3.2643089749194334,23.21640296596571,3.773946894753205,19.445990630019534,3.011088842088812,2.2951750927017827,3.014885317685577,0.7334690194705571,3.2594497703271,0.6556691811486504,3.7695413429794185,0.5812944929415451,3.011057498983455,38.78344957742058,3.2549298936066227,42.70321840945758,3.7641636931286473,46.65611204852587
3.061992214248352,25.416120330767484,3.306243951913602,23.138240420008287,3.8158803642439305,19.360384032066165,3.0530200884650833,2.3024774432003454,3.056810652424123,0.7368941695853586,3.301375105065646,0.6590943312634518,3.8114666777179647,0.5844749894767176,3.0529221707270806,39.03740643132727,3.29680222249473,42.901967251645374,3.8060498048768223,46.75548646961977
3.103928698745962,25.345401836806,3.3481789289077697,23.060077874050865,3.8578145874863785,19.27849946011077,3.0949602022979406,2.320733319446745,3.0987359871626703,0.7403193197001583,3.3433004398041932,0.6622748277986235,3.8533920124565118,0.5876554860118892,3.094788373899602,39.280321682890076,3.338680677098423,43.056549684458105,3.8479420423405846,46.8106944813386
