201_1_headxflow,,184_1_headxflow,,163_1_headxflow,,all_1_npshxflow,,201_1_powerxflow,,184_1_powerxflow,,163_1_powerxflow,,201_1_effxflow,,184_1_effxflow,,163_1_effxflow,
X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y
13.21440469971295,68.33535157172822,12.017752447281605,58.68539017747378,12.917425308598602,45.42211632795259,12.02238695755843,4.514935958418114,13.207709623987451,8.938482901116764,12.01326314958298,6.413313871269047,12.914313442911519,4.309412191627366,13.218854391771135,38.471864903331294,12.021766200450015,41.741460888966,12.921766811443266,51.3646771818205
13.26681282755666,68.25478028198815,12.070160575125314,58.65440121988144,12.969833436442311,45.378731787323304,12.074846028904295,4.532078224367098,13.260101337432125,8.943353043893708,12.065653016037825,6.420619085434467,12.96669961538671,4.321587548569738,13.271281611828993,38.507211886959794,12.074193420507875,41.85633858575858,12.974194031501124,51.44420789498457
13.319220955400368,68.1680112007296,12.122568702969023,58.62961005380757,13.02224156428602,45.33534724669403,12.12730510025016,4.547999856566637,13.312481968937835,8.9628336150015,12.118042882492672,6.427924299599894,13.019093175821212,4.324022619958207,13.323708831886853,38.56023236240253,12.126620640565733,41.96237953664402,13.026621251558982,51.49722837042731
13.371629083244077,68.08124211947104,12.174976830812732,58.59862109621523,13.074649692129729,45.29196270606476,12.179764171596025,4.56392148876618,13.364871835392682,8.970138829166928,12.170434595937348,6.432794442376846,13.071484889265886,4.328892762735158,13.376136051944712,38.613252837845266,12.179047860623594,42.05958374162233,13.079048471616844,51.550248845870016
13.424037211087784,68.00067082973096,12.22738495865644,58.57382993014136,13.127057819973437,45.25477595695395,12.23222324294189,4.581063754715167,13.417258007867874,8.9823141861093,12.22282076841254,6.44496979931921,13.123872908730906,4.338633048289054,13.42856327200257,38.639763075566606,12.231475080681452,42.16562469250778,13.131475691674702,51.62094281312696
13.476445338931493,67.92009953999087,12.279793086500149,58.53664318103055,13.179465947817144,45.205193624806206,12.284682314287757,4.599426654413584,13.469640486363412,8.999359685828615,12.27520694088773,6.457145156261582,13.17625723421627,4.353243476619902,13.48099049206043,38.701620296916474,12.28390230073931,42.27166564339325,13.183902911732561,51.66512654266259
13.528853466775201,67.8395282502508,12.332201214343858,58.50565422343821,13.231874075660853,45.1680068756954,12.337141385633622,4.615348286613127,13.522030352818259,9.006664899994036,12.327602348312059,6.457145156261582,13.2286526416406,4.353243476619902,13.53341771211829,38.72813053463784,12.336329520797172,42.37770659427869,13.236330131790421,51.73582050991956
13.581261594618908,67.75275916899224,12.384609342187566,58.48086305736434,13.284282203504562,45.12462233506613,12.389600456979487,4.632490552562114,13.574412831313794,9.023710399713359,12.37998852078725,6.469320513203954,13.281042508095446,4.360548690785322,13.585844932176148,38.78998775598765,12.38875674085503,42.474910799257,13.288757351848279,51.78000423945514
13.633669722462617,67.66599008773369,12.437017470031275,58.443676308253536,13.336690331348269,45.08123779443685,12.442059528325352,4.649632818511094,13.626804544758468,9.028580542490303,12.432374693262442,6.4814958701463254,13.333430527560465,4.370288976339218,13.638272152234007,38.82533473961615,12.44118396091289,42.58095175014245,13.341184571906139,51.85953495261924
13.686077850306326,67.57302321495669,12.489425597874984,58.41888514217967,13.389098459191977,45.03785325380757,12.494518599671217,4.666775084460074,13.679187023254006,9.045626042209626,12.484766406707116,6.48636601292327,13.385816700035656,4.38246433328159,13.690699372291867,38.87835521505886,12.493611180970749,42.68699270102789,13.393611791963998,51.894881936247714
13.738485978150035,67.47385855066119,12.541833725718691,58.36310501851346,13.441506587035686,44.98827092165983,12.546977671017082,4.683917350409061,13.731573195729197,9.057801399151998,12.537156273161964,6.493671227088697,13.438212107459986,4.38246433328159,13.743126592349725,38.931375690501596,12.546038401028607,42.775360160099126,13.446039012021856,51.965575903504686
13.790894105993743,67.38089167788418,12.5942418535624,58.33211606092111,13.493914714879395,44.94488638103056,12.599436742362947,4.7010596163580445,13.783961215194218,9.067541684705887,12.589542445637155,6.505846584031069,13.490601973914831,4.38976954744701,13.795553812407585,38.957885928222964,12.598465621086467,42.87256436507744,13.498466232079716,51.99208614122605
13.843302233837452,67.2817270135887,12.646649981406108,58.28253372877337,13.546322842723104,44.88910625736435,12.651895813708812,4.716981248557584,13.836343693689756,9.084587184425217,12.641930465102174,6.515586869584965,13.542989993379852,4.399509833000906,13.847981032465444,38.98439616594433,12.650892841144326,42.95209507824151,13.550893452137576,52.062780108483025
13.89571036168116,67.18876014081167,12.699058109249817,58.2391491881441,13.598730970566812,44.839523925216604,12.704354885054677,4.735344148256008,13.888735407134428,9.089457327202155,12.694325872526502,6.515586869584965,13.595376165855043,4.411685189943277,13.900408252523302,39.03741664138704,12.703320061202184,43.04929928321988,13.603320672195434,52.08929034620439
13.94811848952487,67.09579326803465,12.751466237093524,58.20196243903329,13.651139098410521,44.79613938458733,12.756813956400542,4.752486414204991,13.941116038640137,9.108937898309954,12.746710198011868,6.530197297915805,13.647771573279373,4.411685189943277,13.952835472581164,39.055090133201276,12.755747281260044,43.128829996383956,13.655747892253293,52.151147567554204
14.000526617368578,66.9904308122207,12.803874364937233,58.152380106885545,13.70354722625423,44.75275484395806,12.809273027746407,4.769628680153971,13.993505905094985,9.116243112475374,12.79909637048706,6.542372654858184,13.700159592744392,4.421425475497173,14.005262692639022,39.090437116829776,12.808174501317904,43.217197455455135,13.708175112311153,52.186494551182705
