240_1_headxflow,,225_1_headxflow,,209_1_headxflow,,193_1_headxflow,,all_1_npshxflow,,240_1_powerxflow,,225_1_powerxflow,,209_1_powerxflow,,193_1_powerxflow,,240_1_effxflow,,225_1_effxflow,,209_1_effxflow,,193_1_effxflow,
X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y
24.640120988560504,98.89014089196353,24.166162138100532,85.11085613709164,23.121688621277098,77.27474779018324,23.083579197599537,65.36423669214616,23.117135080172435,1.6637460211600512,24.640045327946584,22.709469407133184,24.203057767735046,19.901926519490928,23.1105888672062,14.897638620139873,23.066890111185046,12.061018966692728,24.640045327946584,39.562501849842164,24.159359011713892,38.11920668633559,23.1105888672062,44.23152226949185,23.066890111185046,45.93508377395864
24.90220577447763,98.77999456919214,24.428237495659502,85.0208968719739,23.38374512211975,77.22516264037279,23.345654555158507,65.27427742702842,23.379046036354282,1.6601255417940308,24.90223786407351,22.794572362896332,24.465250303861968,19.964093202163866,23.37278140333312,14.921578180995851,23.329082647311967,12.15376734681925,24.90223786407351,39.79910761435144,24.421551547840814,38.324265015577,23.37278140333312,44.46024117518414,23.329082647311967,46.17168953846789
25.16429527457384,98.65975471759394,24.690322281576627,84.91075054920252,23.6458251938578,77.12510984642822,23.607715770180235,65.21459874839115,23.640901463711497,1.6619957526076448,25.16443040020043,22.887320743022855,24.727442839988893,20.056841582290417,23.634973939460046,14.999035712395568,23.591275183438892,12.185352332038605,25.16443040020043,40.02782652004376,24.68374408396774,38.55298392126929,23.634973939460046,44.72839437496134,23.591275183438892,46.416182161794154
25.426380060490963,98.54960839482256,24.952407067493755,84.80060422643112,23.907914693954005,77.00486999483002,23.869795841918283,65.11454595444658,23.90277540067692,1.66203573336138,25.426622936327355,22.9647782744226,24.989635376115814,20.141944538053565,23.897166475586967,15.068847819431937,23.853467719565813,12.247519014711571,25.426622936327355,40.24865856691906,24.94593662009466,38.77381596814462,23.897166475586967,44.98077385710454,23.853467719565813,46.65278792630343
25.688441275512695,98.48992971618529,25.214487139231803,84.70055143248656,24.16997119479666,76.95528484501958,24.131885342014492,64.99430610284837,24.164630828034134,1.6639059441749922,25.688815472454277,23.05752665454912,25.25182791224274,20.196465796363128,24.159359011713892,15.16159619955846,24.115660255692738,12.31733112174794,25.688815472454277,40.45371689616047,25.208129156221585,38.97098743856898,24.159359011713892,45.209492762796856,24.115660255692738,46.88150683199572
25.950530775608904,98.36968986458707,25.476557782611692,84.62068569619565,24.432065409071942,76.82495146459453,24.39396069957346,64.90434683773064,24.426495510195455,1.6648610399586659,25.9510080085812,23.134984185948838,25.51402044836966,20.289214176489622,24.421551547840814,15.193181184777842,24.37785279181966,12.34127068260392,25.9510080085812,40.69032266066972,25.47032169234851,39.183932626627325,24.421551547840814,45.46187224494008,24.37785279181966,47.11022573768801
26.21262027570511,98.24945001298886,25.73865199688698,84.49035231577061,24.69413605245183,76.74508572830362,24.65603605713243,64.8143875726129,24.68836944716088,1.664901020712401,26.213200544708123,23.22773256607539,25.776212984496585,20.359026283525992,24.68374408396774,15.27828414054099,24.640045327946584,12.434019062730414,26.213200544708123,40.88749413109409,25.73251422847543,39.38110409705175,24.68374408396774,45.69847800944936,24.640045327946584,47.33894464338033
26.474690919085,98.16958427669795,26.000736782804108,84.38020599299924,24.95622083836896,76.63493940553224,24.918116128870476,64.71433477866833,24.950243384126303,1.6649410014661363,26.475393080835047,23.32048094620191,26.03840552062351,20.451774663652515,24.94593662009466,15.317514550123718,24.90223786407351,12.435022350496212,26.475393080835047,41.10043931915246,25.994706764602356,39.59404928511009,24.94593662009466,45.903536338690714,24.90223786407351,47.56766354907262
26.736770990823047,98.06953148275338,26.262816854542155,84.28015319905468,25.218296195927927,76.5449801404145,25.180196200608528,64.61428198472377,25.21211732109173,1.6649809822198716,26.73758561696197,23.413229326328462,26.30059805675043,20.521586770688856,25.208129156221585,15.402617505886866,25.16443040020043,12.527770730622763,26.73758561696197,41.3133845072108,26.256899300729277,39.775447037900506,25.208129156221585,46.15591582083397,25.16443040020043,47.78060873713096
26.998851062561098,97.96947868880882,26.52490635463836,84.15991334745647,25.480385696024136,76.4247402888163,25.44227627234657,64.5142291907792,25.473991258057154,1.6650209629736068,26.999778153088894,23.49833228209158,26.562790592877356,20.606689726451975,25.47032169234851,15.472429612923207,25.426622936327355,12.567001140205548,26.999778153088894,41.51055597763519,26.5190918368562,39.996279084775836,25.47032169234851,46.34520043244137,25.426622936327355,47.9935539251893
27.260949991015462,97.82905177955698,26.78699114055549,84.04976702468508,25.74247048194126,76.3145939660449,25.7043610582637,64.40408286800783,25.735865195022576,1.665060943727342,27.26197068921582,23.598726086581507,26.824983129004277,20.676501833488345,25.73251422847543,15.54988714432298,25.688815472454277,12.621522398515054,27.26197068921582,41.73138802451055,26.781284372983123,40.16978997874932,25.73251422847543,46.58180619695065,25.688815472454277,48.206499113247645
27.523030062753506,97.7289989856124,27.049075926472614,83.9396207019137,26.004536411142073,76.24482175858081,25.96645055835991,64.28384301640963,25.997739131988002,1.6651009244810773,27.52416322534274,23.65324734489107,27.087175665131202,20.75395936488809,25.994706764602356,15.589117553905737,25.9510080085812,12.698979929914799,27.52416322534274,41.936446353751904,27.043476909110048,40.359074590356755,25.994706764602356,46.81052510264294,25.9510080085812,48.419444301306015
