191_1_headxflow,,170_1_headxflow,,154_1_headxflow,,140_1_headxflow,,all_1_npshxflow,,191_1_powerxflow,,170_1_powerxflow,,154_1_powerxflow,,140_1_powerxflow,,191_1_effxflow,,170_1_effxflow,,154_1_effxflow,,140_1_effxflow,
X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y
8.267501360181654,65.09809896795399,7.617640574919669,50.013834523015795,8.466652245987746,40.017180498030925,9.022178401131056,31.663765039680456,7.625196877266887,2.878059076616573,8.27624134561501,6.091620154949794,7.626380560353025,3.8521247173601267,8.475392231421104,3.318911517934012,9.030918386564412,2.8411524912482164,8.27062207806755,32.704141950721464,7.620040293023277,36.53200908501668,8.468096446417128,37.61437151609326,9.023396697771032,37.04239136958941
8.330391113594104,65.0799931108669,7.680530328332119,49.9678386040956,8.529541999400196,39.961887891833015,9.085068154543507,31.599175746204864,7.688040859388644,2.891850105467608,8.339131099027462,6.108682977331426,7.689270313765475,3.860656128550943,8.538281984833553,3.3317086347202363,9.093808139976861,2.847551049641332,8.33343037833363,32.818537980022256,7.682840359014969,36.67280419800227,8.530904746683207,37.72876754539405,9.086215977069628,37.12158862064379
8.393280867006554,65.024700504669,7.743420081744569,49.9311393724531,8.592431752812647,39.888001911079726,9.147957907955957,31.506696390896153,7.750884841510401,2.904117668034562,8.402020852439911,6.127878652510766,7.752160067177925,3.8777189509325822,8.601171738246002,3.34237289870876,9.156697893389314,2.8560824608321482,8.39623593384158,32.94173370388461,7.745643169764792,36.80479961642624,8.593710302191157,37.85196326925643,9.149038001126353,37.191986177136556
8.456170620419005,64.9787045857488,7.80630983515702,49.91303351536602,8.655321506225096,39.83270930488183,9.210847661368406,31.423513722865152,7.813728823632158,2.919432163169674,8.46491060585236,6.13854291649929,7.815049820590375,3.8862503621233984,8.664061491658455,3.3445057515064676,9.219587646801763,2.8560824608321482,8.459038744591403,33.07372912230858,7.808443235756485,36.94559472941182,8.656521347215367,37.957559603995605,9.21185728042495,37.27118342819094
8.519060373831454,64.9327086668286,7.86919958856947,49.85774090916812,8.718211259637547,39.768120011406225,9.273737414780857,31.340331054834152,7.8765728057539155,2.936270124588855,8.527800359264813,6.15773859167863,7.877939574002825,3.9033131845050306,8.726951245070904,3.3573028682926918,9.282477400214212,2.8646138720229644,8.521844300099355,33.19692484617099,7.871240556990049,37.095189536959,8.719326902723319,38.080755327858014,9.274676559723545,37.35038067924532
8.581950127243905,64.87741606063071,7.93208934198192,49.82104167752563,8.781101013049998,39.69423403065292,9.336627168193308,31.26644507408085,7.939416787875672,2.9500611534398864,8.590690112677262,6.172668561262562,7.940829327415276,3.9118445956958467,8.789840998483353,3.3679671322812155,9.345367153626665,2.87101243041608,8.584647110849174,33.328920264594956,7.934037878223612,37.244784344506144,8.782137947747527,38.18635166259719,9.337495839022143,37.4295779302997
8.644839880656356,64.8407168289882,7.99497909539437,49.802935820438535,8.843990766462447,39.63894142445503,9.399516921605757,31.173965718772138,8.002260769997429,2.965375648574998,8.65357986608971,6.187598530846493,8.003719080827725,3.928907418077486,8.852730751895802,3.3722328378766235,9.408256907039114,2.8816766944046037,8.647452666357125,33.45211598845734,7.996837944215305,37.38557945749173,8.844946248013608,38.300747691897925,9.400320607836996,37.491175792230905
8.707729634068805,64.78542422279031,8.05786884880682,49.74764321424064,8.906880519874898,39.57435213097942,9.462406675018208,31.090783050741138,8.065104752119186,2.9806901437101025,8.71646961950216,6.206794206025833,8.066608834240176,3.9374388292683022,8.915620505308254,3.385029954662855,9.471146660451563,2.8816766944046037,8.710258221865077,33.57531171231969,8.059640754965127,37.5175748759157,8.907754548279687,38.41514372119872,9.463139887135592,37.57037304328529
8.770619387481256,64.73942830387011,8.12075860221927,49.71094398259814,8.969770273287349,39.519059524781525,9.525296428430657,31.007600382710137,8.127948734240944,2.9960046388452106,8.779359372914612,6.2195913228120645,8.129498587652627,3.956634504447642,8.978510258720704,3.393561365853671,9.534036413864015,2.8880752527977123,8.7730610326149,33.70730713074366,8.12243807619869,37.667169683462845,8.970568338062025,38.511940361376276,9.525967400708574,37.623171210654874
8.833509140893707,64.65624563583913,8.183648355631721,49.65565137640024,9.032660026699798,39.435876856750525,9.588186181843108,30.933714401956834,8.1907927163627,3.0113191339803222,8.842249126327062,6.236654145193697,8.192388341065076,3.965165915638458,9.041400012133153,3.3999599242467795,9.596926167276465,2.8966066639885284,8.83586658812285,33.83050285460607,8.18524363170664,37.790365407325254,9.033382127844362,38.60873700155389,9.588794914281557,37.67596937802446
8.896398894306156,64.61024971691893,8.24653810904417,49.61895214475776,9.095549780112249,39.352694188719525,9.651075935255559,30.841235046648123,8.253636698484456,3.0266336291154268,8.90513887973951,6.255849820373037,8.255278094477525,3.9822287380200976,9.104289765545605,3.412757041033011,9.659815920688914,2.907270927977052,8.89867763314706,33.93609918934524,8.248043697698334,37.93116052031081,9.0961959176267,38.70553364173145,9.651614193580153,37.75516662907884
8.959288647718607,64.53636373616561,8.309427862456621,49.56365953855986,9.158439533524698,39.29740158252163,9.713965688668008,30.758052378617123,8.316480680606213,3.041948124250535,8.968028633151963,6.26651408436156,8.318167847889978,3.9907601492109137,9.167179518958054,3.4191555994261194,9.722705674101366,2.907270927977052,8.961483188655011,34.059294913207594,8.310849253206284,38.05435624417322,9.15900696265091,38.81112997647065,9.714444451911266,37.79916510188684
