250_1_headxflow,,245_1_headxflow,,228_1_headxflow,,208_1_headxflow,,197_1_headxflow,,all_1_npshxflow,,250_1_powerxflow,,245_1_powerxflow,,228_1_powerxflow,,208_1_powerxflow,,197_1_powerxflow,,250_1_effxflow,,245_1_effxflow,,228_1_effxflow,,208_1_effxflow,,197_1_effxflow,
X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y
12.964297426703844,114.4533955313134,12.614537385805136,108.01849984407514,12.579561381715266,93.61065362515204,12.439657365355782,77.77913061242404,12.124873328546947,69.7385736101008,12.124873328546947,1.282769667732392,12.921243860455004,21.460762390715672,12.572958973263468,19.68272192592221,12.543237996873511,14.25694896119171,12.406300292930357,11.104134941145617,12.092838542541458,9.509397617052514,12.958964234699096,25.483854678882494,12.609214224726895,25.473540378699198,12.569423577742004,30.42419693550326,12.427831963957804,32.15946898747214,12.112403001141555,32.82261415459058
13.174153451243068,114.2990890319033,12.82439341034436,107.93399939320041,12.78941740625449,93.5261531742773,12.649513389895006,77.77839741979173,12.334729353086171,69.73784041746849,12.334729353086171,1.2934623509399117,13.131163865965572,21.552413961065838,12.782861139052311,19.79270381034243,12.753184761966661,14.321105060436821,12.61628273746695,11.131630412250644,12.302794227495468,9.564388559262625,13.168533842984608,25.77836219176288,12.818746938578485,25.805984593259836,12.778928620768152,30.785093676324124,12.637327783375472,32.529849903713085,12.321917267776183,33.17402671999142
13.384009475782292,114.298355839271,13.034249434883584,107.93326620056808,12.999273430793714,93.52541998164499,12.85936941443423,77.69389696891699,12.544585377625395,69.73710722483617,12.544585377625395,1.2934623509399117,13.341101711197858,21.625735217345976,12.992825743867183,19.838529595517542,12.96311368733809,14.403591473751987,12.826229502560103,11.195786511495783,12.51275883231034,9.610214344437708,13.378085004053158,26.09183805548338,13.028298099647035,26.119460456980335,12.988442887402787,31.13650624172496,12.846823602793137,32.90023081995406,12.531394639976892,33.563375987072504
13.593865500321517,114.24177780781041,13.244105459422812,107.79292091086509,13.209129455332938,93.46884195018438,13.069225438973458,77.60939651804226,12.75444140216462,69.59676193513316,12.75444140216462,1.297739424222918,13.551048476291012,21.689891316591115,13.202754669238612,19.92101600883268,13.173087212013826,14.44025210189207,13.03622086695756,11.21411682556581,12.722705597403493,9.674370443682847,13.58767305955563,26.36737721752354,13.237849260715585,26.43293632070086,13.197947930428931,31.49740298254585,13.056300974993846,33.28958008703515,12.740908906611523,33.91478855247334
13.803721524860745,114.12935493752154,13.453961483962036,107.76426529881863,13.418985479872166,93.3564190798955,13.279081463512682,77.60866332540994,12.964297426703844,69.5681063230867,12.964297426703844,1.2998779608644213,13.76097740166244,21.772377729906253,13.41267467474918,20.012667579182846,13.383025057246115,14.51357335817221,13.246149792328985,11.296603238880977,12.932714801522675,9.674370443682847,13.797242667841143,26.661884730403898,13.447418869001101,26.72744383358122,13.407471420672042,31.839331372526573,13.265824465236953,33.6315084770159,12.950386278812228,34.30413781955443
14.013577549399969,114.05881569635386,13.66381750850126,107.70768726735803,13.62884150441139,93.35568588726319,13.488937488051906,77.60793013277762,13.174153451243068,69.51152829162609,13.174153451243068,1.3062935707889345,13.970888487312141,21.873194457291476,13.622630359703194,20.067658521392957,13.592971822339265,14.57772945741732,13.456132236865585,11.324098709986032,13.142643726894104,9.756856856997985,14.006812276126652,26.956392243284256,13.656997700895094,27.012467171041493,13.61699491091515,32.181259762507295,13.47534795548006,33.97343686699662,13.159900545446856,34.65555038495529
14.223433573939193,113.96035403577208,13.873673533040485,107.59526439706916,13.838697528950615,93.35495269463087,13.69879351259113,77.53739089160997,13.384009475782292,69.39910542133724,13.384009475782292,1.3127091807134477,14.180817412683574,21.955680870606642,13.83255928507462,20.150144934708123,13.80293642715414,14.623555242592431,13.666061162237014,11.406585123301198,13.352626171430696,9.78435232810304,14.216391108020645,27.24141558074453,13.866548861963643,27.32594303476199,13.82651840115826,32.523188152488046,13.684871445723175,34.31536525697737,13.369424035689967,34.99747877493601
14.433289598478417,113.87585358489734,14.083529557579709,107.5666087850227,14.048553553489839,93.18668498551374,13.908649537130355,77.43892923102815,13.593865500321517,69.39837222870491,13.593865500321517,1.3137784490341993,14.390782017498449,22.001506655781697,14.042488210446049,20.23263134802329,14.012847512803848,14.724371969977625,13.87604360677361,11.434080594406254,13.562555096802125,9.866838741418206,14.415563864826936,27.437262765513196,14.076100023032193,27.63941889848249,14.03606956222681,32.836664016208545,13.894394935966282,34.657293646958095,13.578947525933074,35.339407164916736
14.643145623017642,113.7913531340226,14.293385582118933,107.4262634953197,14.258409578029063,93.18595179288141,14.11850556166958,77.38235119956757,13.803721524860745,69.3976390360726,13.803721524860745,1.3191247906379608,14.60069310314815,22.10232338316689,14.252417135817478,20.315117761338456,14.22282103747958,14.76103259811768,14.085972532145039,11.516567007721392,13.772537541338725,9.894334212523262,14.635594889851031,27.764041378564627,14.285688078534665,27.91495806052265,14.245593052469918,33.17859240618927,14.103936873426353,34.98025368609868,13.788471016176185,35.68133555489749
14.853001647556866,113.70685268314787,14.503241606658158,107.34176304444496,14.468265602568287,93.1852186002491,14.328361586208803,77.26992832927868,14.013577549399969,69.25729374636958,14.013577549399969,1.3244711322417224,14.810604188797857,22.203140110552113,14.462399580354074,20.342613232443483,14.432749962851009,14.843519011432846,14.295954976681635,11.544062478826447,13.982537825597042,9.903499369558261,14.845182945353507,28.039580540604874,14.4952945812541,28.1715288717227,14.455125766321508,33.511036620749906,14.313469587277943,35.312697900659316,13.997994506419293,36.02326394487821
15.06285767209609,113.62235223227314,14.713097631197382,107.25726259357023,14.678121627107512,93.10071814937436,14.538217610748031,77.26919513664637,14.223433573939193,69.22863813432315,14.223433573939193,1.3287482055247288,15.020542034030147,22.276461366832223,14.672301746142917,20.452595116863705,14.642714567665884,14.88934479660793,14.505883902053064,11.626548892141614,14.192448911246746,10.004316096943484,15.05475255363902,28.334088053485203,14.704873413148093,28.456552209182945,14.664695374607021,33.805544133630264,14.523011524738013,35.6356579397999,14.207527220270883,36.35570815943885
15.272713696635314,113.454084523156,14.92295365573661,107.11691730386723,14.887977651646736,93.01621769849962,14.748073635287255,77.1567722663575,14.433289598478417,69.06037042520599,14.433289598478417,1.3383716204114968,15.230506638845021,22.322287152007334,14.882221751653486,20.54424668721387,14.852661332759034,14.953500895853068,14.715866346589657,11.654044363246669,14.402458115365928,10.004316096943484,15.264322161924532,28.62859556636556,14.914433797825122,28.76054389748336,14.874228088458608,34.1379883481909,14.732553462198084,35.95861797894045,14.417078381339433,36.669184023159346
15.482569721174542,113.42542891110953,15.132809680275834,107.06033927240662,15.09783367618596,92.90379482821076,14.95792965982648,77.1001942348969,14.643145623017642,69.05963723257366,14.643145623017642,1.3383716204114968,15.440417724494726,22.423103879392528,15.092213116050942,20.562577001283927,15.062563498547878,15.063482780273262,14.925777432239364,11.754861090631863,14.612431640041663,10.040976725083539,15.473919441035484,28.894650552985695,15.124040300544557,29.01711470868341,15.083788473135645,34.44198003649137,14.942095399658154,36.281578018081035,14.626620318799503,36.99214406229993
