261_1_headxflow,,249_1_headxflow,,233_1_headxflow,,215_1_headxflow,,197_1_headxflow,,261_1_npshxflow,,249_1_npshxflow,,233_1_npshxflow,,215_1_npshxflow,,197_1_npshxflow,,261_1_powerxflow,,249_1_powerxflow,,233_1_powerxflow,,215_1_powerxflow,,197_1_powerxflow,,261_1_effxflow,,249_1_effxflow,,233_1_effxflow,,215_1_effxflow,,197_1_effxflow,
X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y
3.3834881017916807,33.69596289685698,3.3466692437671277,29.941501486455188,3.1993938116689087,25.21949962363935,3.0152995215461367,20.597514719575578,2.79438637339881,16.297375256781173,5.363909983922769,1.982251620744293,5.363909983922769,1.982251620744293,5.363909983922769,1.982251620744293,5.363909983922769,1.3846188729428093,5.363909983922769,1.3846188729428093,0.3213400569354441,1.571968116884534,0.3213400569354441,1.3834746617343079,0.35814713669447507,1.1394707587857695,0.35814713669447507,0.8901523768904376,0.3213400569354441,0.6787285405287804,7.147792706333977,30.00,7.001919385796548,30.00,6.527831094049908,30.00,5.980806142034549,30.00,5.543186180422268,30.00
4.156684120307325,33.60207040568238,4.119865262282769,29.85261264526218,3.9725898301845533,25.14173000462766,3.7884955400617812,20.51990394659505,3.5675823919144527,16.25018349876811,6.136858658862431,1.934511726689152,6.136858658862431,1.934511726689152,6.136858658862431,1.934511726689152,6.136858658862431,1.3580967095788168,6.136858658862431,1.3580967095788168,1.094288731875107,1.6369522010662632,1.094288731875107,1.4416258444130143,1.1310958116341379,1.1909980981394845,1.1310958116341379,0.9308196940485267,1.094288731875107,0.7133881858339706,11.633397312859891,40.00,11.159309021113245,40.00,10.794625719769677,40.00,9.919385796545107,40.00,9.00767754318618,40.00
4.929880138822966,33.55487864766932,4.893061280798413,29.76705957072357,4.745785848700194,25.085086907760477,4.561691558577422,20.407426469774528,4.340778410430097,16.182977140828676,6.909807333802094,1.920366572895034,6.909807333802094,1.920366572895034,6.909807333802094,1.920366572895034,6.909807333802094,1.3987640267369414,6.909807333802094,1.3987640267369414,1.8672374068147697,1.7034987200522274,1.8672374068147697,1.5015485200739889,1.9040444865738007,1.2406769230769257,1.9040444865738007,0.9767244687194001,1.8672374068147697,0.7519759242737472,15.462571976967375,45.00,15.681381957773517,45.00,14.733205374280232,45.00,13.78502879078695,45.00,12.909788867562384,45.00
5.703076157338611,33.514358422965046,5.666257299314058,29.637744414599922,5.518981867215839,24.965937897631164,5.334887577093067,20.328624351560308,5.113974428945738,16.016285513572676,7.682756008741757,1.920366572895034,7.682756008741757,1.920366572895034,7.682756008741757,1.920366572895034,7.682756008741757,1.3969958825126696,7.682756008741757,1.3969958825126696,2.6401860817544325,1.7716626891524339,2.6401860817544325,1.5607890058908573,2.6769931615134634,1.289893619410293,2.6769931615134634,1.0156202928952247,2.6401860817544325,0.7875598267870743,20.385796545105567,47.20,20.021113243762,46.80,18.890595009596932,46.80,17.176583493282152,46.70,16.33781190019194,46.60
6.476272175854255,33.435476881735234,7.985845354860988,29.27056806480335,6.292177885731483,24.82769559455624,6.108083595608711,20.268645488038715,5.887170447461383,15.873039560516148,8.45570468368142,1.9327435824648944,8.45570468368142,1.9327435824648944,8.45570468368142,1.9327435824648944,8.45570468368142,1.3687055749244479,8.45570468368142,1.3687055749244479,3.4131347566940935,1.8393645296485719,3.4131347566940935,1.6242436644543599,3.4499418364531262,1.3425762802741836,3.4499418364531262,1.0594564919097884,3.4131347566940935,0.8238369222065103,25.856046065259125,45.00,24.725527831094052,45.00,23.193857965451055,45.00,21.51631477927064,45.00,20.23992322456814,45.00
7.249468194369896,33.34269631277878,8.759041373376629,29.19919199854592,7.065373904247124,24.776723301001525,6.881279614124352,20.106369780449022,6.660366465977027,15.772872651110653,9.228653358621083,1.934511726689152,9.228653358621083,1.934511726689152,9.228653358621083,1.934511726689152,9.228653358621083,1.3545604211302873,9.228653358621083,1.3545604211302873,4.186083431633756,1.9079906273528469,4.186083431633756,1.6868620903057359,4.222890511392789,1.3973385198563832,4.222890511392789,1.1073528208029622,4.186083431633756,0.8605761462300094,30.81573896353167,40.00,29.247600767754324,40.00,27.8253358925144,40.00,25.856046065259125,40.00,23.996161228406915,40.00
8.022664212885541,33.19852905274149,9.532237391892274,29.081949140790556,7.838569922762769,24.70951694306209,7.654475632639997,19.965776556112885,7.433562484492672,15.66396920999128,10.001602033560745,1.9734108996229907,10.001602033560745,1.9734108996229907,10.001602033560745,1.9734108996229907,10.001602033560745,1.3439515557847272,10.001602033560745,1.3439515557847272,4.959032106573419,1.9834606296221473,4.959032106573419,1.7450902944184552,4.995839186332452,1.4504723062623412,4.995839186332452,1.1514861024915675,4.959032106573419,0.8931562128168871,,,,,,,,,28.627639155470252,30.00
8.795860231401186,33.04538699194359,10.305433410407918,28.9580347497264,8.611765941278414,24.580598902016334,8.427671651155642,19.824706793683262,8.206758503008313,15.526711752309545,10.774550708500408,2.0087737841082713,10.774550708500408,2.0087737841082713,10.774550708500408,2.0087737841082713,10.774550708500408,1.3899233056156106,10.774550708500408,1.3899233056156106,5.731980781513082,2.0500951731041273,5.731980781513082,1.8081708488738997,5.768787861272115,1.501779584376024,5.768787861272115,1.1933087411598322,5.731980781513082,0.932437144162769,,,,,,,,,,
9.56905624991683,32.89812223429867,11.078629428923563,28.80350579460339,9.384961959794055,24.46669181091537,9.200867669671283,19.603975746626055,8.979954521523958,15.312731661576706,11.547499383440071,2.1060217164428394,11.547499383440071,2.1060217164428394,11.547499383440071,2.1060217164428394,11.547499383440071,1.3969958825126696,11.547499383440071,1.3969958825126696,6.504929456452745,2.1242668140572327,6.504929456452745,1.8733309820476585,6.541736536211777,1.5538680798918243,6.541736536211777,1.238366280056578,6.504929456452745,0.9740287185289986,,,,,,,,,,
