Marca,Modelo,Diameter,Rotation,Stages,min_flow,max_flow,flowxhead,flowxeff,flowxnpsh,flowxpower,eff_bop,eff_bop_flow,p80_eff_bop_flow,p110_eff_bop_flow
SCHNEIDER,BC23-RF114,250,3500,1,12.964297426703844,46.08657329981148,"[-2.453918215761197e-08, 3.374056052654363e-06, -0.00018364238437272161, -0.019830701391830977, 0.2351844370411608, 115.03220768131447]","[2.6160429449615582e-08, -6.768199840383462e-06, 0.0005924907421242517, -0.051514128710955, 2.538989750649191, 0.10796880950979666]","[-2.4636907244489235e-10, 6.555308836246392e-08, -5.382255633603634e-06, 0.0020067389402512546, -0.028925056789745853, 1.348920820945786]","[-9.320201654418313e-09, 1.4391798823587314e-06, -8.74090599430166e-05, 0.0005100294326124062, 0.40088685531629903, 16.35118998042082]",42.71047924703416,38.334789861306675,30.667831889045342,42.168268847437346
SCHNEIDER,BC23-RF114,245,3500,1,12.614537385805136,44.722509140306514,"[-8.619165738328645e-08, 1.185832243305151e-05, -0.0006329481925433836, -0.008475395636496689, 0.09153163023404717, 109.2445314497297]","[3.188895465453038e-07, -4.7854278689673016e-05, 0.00279727132899229, -0.10936527787391313, 3.2760485971782343, -2.9340445509068216]","[-2.4636907244489235e-10, 6.555308836246392e-08, -5.382255633603634e-06, 0.0020067389402512546, -0.028925056789745853, 1.348920820945786]","[-1.623235503661477e-08, 2.359663904734107e-06, -0.0001342108941934436, 0.0016640505288548634, 0.3655265012962024, 15.050921807403087]",42.64473336578513,34.60990936532333,27.687927492258666,38.070900301855666
SCHNEIDER,BC23-RF114,228,3500,1,12.579561381715266,44.00550105646417,"[-4.409528755270586e-08, 6.267992767672385e-06, -0.00034779630826847443, -0.016818391881905547, 0.34401443963580725, 92.47936574339445]","[7.882640506071352e-08, -1.480170832193189e-05, 0.0010850179905735038, -0.07625430442059614, 3.2240686402101195, 0.14575632316688752]","[-2.4636907244489235e-10, 6.555308836246392e-08, -5.382255633603634e-06, 0.0020067389402512546, -0.028925056789745853, 1.348920820945786]","[-1.0078239075491113e-08, 1.5028400563612046e-06, -8.679896352097616e-05, 0.001128825541175011, 0.3079125542166493, 10.356755234799918]",48.05166799870696,35.00687502710722,28.005500021685776,38.507562529817946
SCHNEIDER,BC23-RF114,208,3500,1,12.439657365355782,41.99438082129659,"[5.277305288576522e-08, -7.015495271114265e-06, 0.0003594647137607061, -0.03508307544779737, 0.534151746576639, 76.05527062533689]","[6.519410718347136e-08, -1.309179938676234e-05, 0.0009812863443257906, -0.07978548524511772, 3.3818247895482276, 0.8848804598396764]","[-2.4636907244489235e-10, 6.555308836246392e-08, -5.382255633603634e-06, 0.0020067389402512546, -0.028925056789745853, 1.348920820945786]","[6.3069926030743466e-09, -1.1382624153321065e-06, 7.706836683401672e-05, -0.003639918521311809, 0.3212215107107634, 7.53254375216046]",48.10076987845292,31.719082889797953,25.375266311838363,34.89099117877775
SCHNEIDER,BC23-RF114,197,3500,1,12.124873328546947,41.01505270678021,"[-3.4849478577719785e-08, 3.938073796558148e-06, -0.00016468644165452918, -0.023159574871122652, 0.38436873247800574, 68.74233101704176]","[6.430850621559305e-08, -1.3439345991521659e-05, 0.001005782630310605, -0.08495430171715494, 3.5162440846326994, 1.1714120990610457]","[-2.4636907244489235e-10, 6.555308836246392e-08, -5.382255633603634e-06, 0.0020067389402512546, -0.028925056789745853, 1.348920820945786]","[2.3278326886211592e-08, -2.4500531382591808e-06, 8.986509888593581e-05, -0.002376065163533604, 0.25834778803238057, 6.620911955037897]",48.09446093025227,29.060912714584795,23.248730171667837,31.967003986043277
