Marca,Modelo,Diameter,Rotation,min_flow,max_flow,flowxhead,flowxeff,flowxnpsh,flowxpower,eff_bop,eff_bop_flow,p80_eff_bop_flow,p110_eff_bop_flow
SCHNEIDER,BC92-ST1A,150,3500,1.2976085864476756,7.112465741356193,"[-0.00014733556758885256, -0.06266859877471377, 0.6335663461439779, -2.338339308321687, 2.5731515231494937, 36.9489717885394]","[-0.011611920750534997, 0.09378589769693799, -0.17881847733447584, -0.682379283747415, 8.942503018371092, 9.751121182428786]","[-0.00013286361150826096, 0.002631881062320922, -0.019448358823491788, 0.13785099091701847, 0.797871194023642, 0.41716890417103425]","[-5.0386989701739314e-06, 9.822708271436569e-05, -0.0007270891287023355, -0.001033576252059662, 0.05448739434943674, 0.6623001058552137]",37.426858374444464,4.866722979278753,3.893378383423003,5.353395277206629
SCHNEIDER,BC92-ST1A,132,3500,1.2976085864476756,7.008191614977401,"[-0.0008597134940981129, -0.11993536557827573, 1.3013741267019978, -5.0508906987593996, 5.782672766325048, 302.3600198425185]","[-0.013926290714579195, 0.11483480543188714, -0.19351675286270667, -1.1474680850701477, 10.506106100514772, 11.484105934967523]","[-0.00013286361150826096, 0.002631881062320922, -0.019448358823491788, 0.13785099091701847, 0.797871194023642, 0.41716890417103425]","[-1.4966521757711338e-06, 4.0004658580346947e-05, -0.0003851211925034789, -0.0022718664551935187, 0.06233379132028948, 0.2823280256484417]",39.51910809079686,4.698764654910233,3.759011723928187,5.168641120401257
SCHNEIDER,BC92-ST1A,123,3500,1.269615532386255,6.920713321035462,"[-2.2288704740691918e-05, -0.12536006503023683, 1.3459911945129963, -5.3267095181280695, 6.527809542170847, 290.47172815634366]","[-0.015644235783194117, 0.12403255093451544, -0.12064799253674728, -1.9199376183711327, 12.44769689533908, 14.032684548705356]","[-0.00013286361150826096, 0.002631881062320922, -0.019448358823491788, 0.13785099091701847, 0.797871194023642, 0.41716890417103425]","[-1.8834542206128438e-06, 4.8957923125530687e-05, -0.00047516397044251684, -0.0019490302673145887, 0.06478225880094352, 0.03242788196651038]",42.20510434827639,4.502813276480291,3.6022506211842327,4.95309460412832
