Marca,Modelo,Diameter,Rotation,Stages,min_flow,max_flow,flowxhead,flowxeff,flowxnpsh,flowxpower,eff_bop,eff_bop_flow,p80_eff_bop_flow,p110_eff_bop_flow
SCHNEIDER,BC21-R112,149,3500,1,9.697469840930925,44.682924451087146,"[3.218918080045431e-09, -4.651004501792648e-07, 2.29048204036808e-05, -0.005996923765858454, -0.033797300857386046, 40.66336058353778]","[-1.8668514271406163e-07, 1.3229788557039965e-05, -0.00010536626575289259, -0.05913279252836088, 3.769770238326387, -5.031551749603837]","[3.877103952239028e-09, 5.65322192215209e-07, -0.00010028458067897367, 0.007244993447731504, -0.05819900523163509, 1.301818286804099]","[1.147244039622096e-09, -4.841327732664912e-08, -9.009626618628477e-06, 0.00011732403739896349, 0.07080999662227627, 5.131677751827142]",60.093228346456726,35.28775061385715,28.23020049108572,38.816525675242865
SCHNEIDER,BC21-R112,135,3500,1,7.685655314757479,41.16224903028361,"[-8.194187411178207e-09, 1.3999493862317081e-06, -8.253799676727275e-05, -0.004695240510231115, -0.06300452347961796, 31.6399038875373]","[-5.243615698398456e-07, 5.3355043914481745e-05, -0.0020982003100760427, -0.024974385450801447, 3.2960731661498506, 5.527674313142383]","[3.877103952239028e-09, 5.65322192215209e-07, -0.00010028458067897367, 0.007244993447731504, -0.05819900523163509, 1.301818286804099]","[7.569403983401871e-09, -8.555517006280408e-07, 3.0202489649163602e-05, -0.0009131160154257474, 0.06768722618126141, 3.7886674752846536]",55.96430446194222,27.88427315753887,22.3074185260311,30.67270047329276
SCHNEIDER,BC21-R112,129,3500,1,5.673840788584034,30.278332443685272,"[8.964457009885578e-09, -9.769303015501026e-07, 3.9771687468012885e-05, -0.008311554456800836, -0.12836249792885218, 26.363198674262843]","[-8.666191522441056e-08, -7.937381865472347e-06, 0.0007784964366414406, -0.10985585380570866, 3.837929304782998, 5.668032424893073]","[3.877103952239028e-09, 5.65322192215209e-07, -0.00010028458067897367, 0.007244993447731504, -0.05819900523163509, 1.301818286804099]","[-1.8493407236366373e-08, 1.8195746376741888e-06, -7.35373496403589e-05, 0.0008147197914230742, 0.04009168147670974, 3.199588707636813]",43.21195100612431,20.078432795985904,16.062746236788723,22.086276075584497
SCHNEIDER,BC21-R112,121,3500,1,4.346043201309559,28.709117113269983,"[5.63511051409095e-08, -4.704742822242008e-06, 0.0001427505251402696, -0.008077798068782973, -0.15452169880054722, 22.17274108735957]","[-2.2871844955377062e-07, -4.746006880074073e-05, 0.0015646231518410755, -0.10548594019747672, 3.721998909169999, 24.856514506951452]","[3.877103952239028e-09, 5.65322192215209e-07, -0.00010028458067897367, 0.007244993447731504, -0.05819900523163509, 1.301818286804099]","[1.7241089974702214e-08, -1.3421617389601588e-06, 3.494321794855797e-05, -0.0009916140649601983, 0.04541359003832725, 2.350599010413776]",61.512545931758495,18.831107789758363,15.06488623180669,20.7142185687342
SCHNEIDER,BC21-R112,104,3500,1,1.7709206078075503,26.053521938721033,"[-5.307088806043953e-09, 4.922881374860925e-07, -1.0603662859756067e-05, -0.007064622266051005, -0.19208724035662816, 13.735256148465696]","[7.138587125257152e-07, -9.07769967942417e-05, 0.0013670514216738074, -0.16190297811485033, 3.796678343689942, 24.525116582333098]","[3.877103952239028e-09, 5.65322192215209e-07, -0.00010028458067897367, 0.007244993447731504, -0.05819900523163509, 1.301818286804099]","[1.6625210157678155e-07, -1.0381682374142066e-05, 0.00022248316044874423, -0.0024260123118825107, 0.030499139843802085, 1.6015095167915518]",47.44839895013126,11.6690480765809,9.335238461264721,12.83595288423899
