Marca,Modelo,Diameter,Rotation,Stages,min_flow,max_flow,flowxhead,flowxeff,flowxnpsh,flowxpower,eff_bop,eff_bop_flow,p80_eff_bop_flow,p110_eff_bop_flow
KSB,MEGALINE,261,0,1,3.03392,34.91744,"[-1.5712414180190932e-06, 0.00016649735117591253, -0.006349207596417718, 0.08337381890649247, -0.5426269938865103, 34.81987974992974]","[4.3520174313237606e-07, -2.5494595485243794e-05, 0.0015381680627809533, -0.15027961193284295, 4.707526457461706, 3.5262120146326006]","[1.3565871392542941e-05, -0.0010462101518157226, 0.029158037364522802, -0.35554638089427754, 1.8588692379699343, -1.2780305090181436]","[-3.076278134344748e-08, 3.498280373005993e-06, -0.0001547192714825024, 0.002623195752357903, 0.0777239990759305, 1.54828526682191]",47.2,20.385796545105567,16.308637236084454,22.424376199616127
KSB,MEGALINE,249,0,1,2.924479999999999,33.64064,"[-9.054211963549472e-07, 9.54341875786932e-05, -0.003525248863790554, 0.03478456017564711, -0.22877120793937378, 30.431106286273213]","[1.9553448735448756e-05, -0.00189017215293519, 0.07093958811351694, -1.373198692703509, 14.712350811396604, -25.829156032604864]","[1.3565871392542941e-05, -0.0010462101518157226, 0.029158037364522802, -0.35554638089427754, 1.8588692379699343, -1.2780305090181436]","[-1.3270204221550071e-08, 2.095940650349534e-06, -0.00011392588543733355, 0.002111157716379571, 0.06860948597230478, 1.3650268686979838]",46.8,20.021113243762,16.0168905950096,22.0232245681382
KSB,MEGALINE,233,0,1,2.778559999999999,32.10848,"[-1.2256261233509592e-06, 0.00011353119941720764, -0.0037125371518574282, 0.031840735228241115, -0.18113701497758064, 25.558494064867542]","[1.0668225480078507e-05, -0.0009116989619186712, 0.030924003685657703, -0.6220230941966546, 8.194831581075833, -4.061490972566009]","[1.3565871392542941e-05, -0.0010462101518157226, 0.029158037364522802, -0.35554638089427754, 1.8588692379699343, -1.2780305090181436]","[-3.3363386836430804e-08, 3.5684255445930945e-06, -0.0001476696456810626, 0.0023438263757144485, 0.056848441601397286, 1.1225474058592888]",46.8,18.890595009596932,15.112476007677547,20.77965451055663
KSB,MEGALINE,215,0,1,2.5961599999999976,30.4304,"[-1.4986340847149806e-06, 0.0001266004202883866, -0.003826426361766477, 0.03227726367714827, -0.22657431300576789, 21.113998254830825]","[2.538175888206406e-05, -0.00206073516182287, 0.06534675886074101, -1.1224460528401214, 11.56861111847412, -10.577080536845468]","[-1.986642343914685e-05, 0.0015757497815434038, -0.04255715628552853, 0.4935658533116745, -2.4286627703319517, 5.3474959782259015]","[-5.431978522001177e-08, 4.803862268262756e-06, -0.00016592038541422366, 0.00229064510929191, 0.0466857116032954, 0.8763559179608525]",46.7,17.176583493282152,13.741266794625723,18.89424184261037
KSB,MEGALINE,197,0,1,2.450239999999999,28.862137854783363,"[-6.134320093911602e-07, 5.2118530294858824e-05, -0.0015004779033307221, 0.0007876533347021342, -0.05437635898621061, 16.481471303997356]","[2.0920458576751838e-05, -0.001881241802126414, 0.06540372871219166, -1.2122408926848358, 12.671431122721824, -12.460625324886275]","[-1.986642343914685e-05, 0.0015757497815434038, -0.04255715628552853, 0.4935658533116745, -2.4286627703319517, 5.3474959782259015]","[-2.347853630871325e-08, 2.629300478735463e-06, -0.00010955546077565865, 0.0015705929557542596, 0.0405342283975275, 0.6684422174741812]",46.6,16.33781190019194,13.070249520153553,17.971593090211137
