Marca,Modelo,Diameter,Rotation,min_flow,max_flow,flowxhead,flowxeff,flowxnpsh,flowxpower,eff_bop,eff_bop_flow,p80_eff_bop_flow,p110_eff_bop_flow
SCHNEIDER,BC21-R114,146,3500,3.5281638930351438,22.643219663956085,"[-1.0087726416983787e-05, 0.000434018717314863, -0.007375894259611197, 0.04408281421404806, -0.5789770377453634, 39.34768605350328]","[-2.1448091154119587e-05, 0.00025796832709455464, 0.015979944008563292, -0.5177038139235504, 8.090424936242679, -7.157522286401494]","[-2.1111625340738942e-08, 2.2598102074023252e-06, -8.063820725221139e-05, 0.006643539227567922, 0.17078064157235243, 0.26560666853708265]","[-1.1574469029152354e-07, 7.6244092481357225e-06, -0.0001902192129276739, -0.0004190790524332337, 0.1330570958158056, 1.9672334950095878]",50.603745882352996,17.315518755632365,13.852415004505893,19.047070631195602
SCHNEIDER,BC21-R114,135,3500,3.092339176620383,21.52827980134251,"[7.4305453826144774e-06, -0.0005961455534241009, 0.015078847791129809, -0.1813522247034447, 0.5135201134046146, 27.9800402134834]","[2.40004331411072e-06, -0.0009055087118937535, 0.03218825502032828, -0.5722187511733552, 7.889371425973463, -6.262937885538272]","[-2.1111625340738942e-08, 2.2598102074023252e-06, -8.063820725221139e-05, 0.006643539227567922, 0.17078064157235243, 0.26560666853708265]","[-1.4665286931202485e-07, 9.405252427138791e-06, -0.00022550553883921018, -0.0002653892355381425, 0.12024822555346237, 1.1312593472738355]",48.50790953816244,15.763469494475647,12.610775595580519,17.339816443923212
SCHNEIDER,BC21-R114,109,3500,2.0675367983034896,19.164208292794164,"[-1.5640235583030996e-06, 5.9576563469537814e-05, -0.0008113786047939, -0.015397170848544592, -0.2548672098226864, 16.848551214679294]","[-4.3016681348703844e-06, -6.310067570226025e-05, 0.007277001233751618, -0.36070100706272606, 7.136332087331977, -6.39079446462301]","[-2.1111625340738942e-08, 2.2598102074023252e-06, -8.063820725221139e-05, 0.006643539227567922, 0.17078064157235243, 0.26560666853708265]","[-5.6268388868263626e-08, 3.636649361407152e-06, -8.075841284515861e-05, -0.0006726815175863661, 0.07359321662543822, 0.39247609586426707]",38.111322352941215,13.540263796061968,10.832211036849575,14.894290175668166
SCHNEIDER,BC21-R114,104,3500,2.547264546824282,18.480224745870377,"[1.87891883907071e-08, -6.495904034107888e-06, -0.00011811551014195514, -0.014540453324187163, -0.3006904492567199, 12.871586925727694]","[-8.582598044709051e-06, 9.137431282759247e-05, 0.002618252925740905, -0.33753222132793403, 7.235843114997813, 1.4307484727714426]","[-2.1111625340738942e-08, 2.2598102074023252e-06, -8.063820725221139e-05, 0.006643539227567922, 0.17078064157235243, 0.26560666853708265]","[-9.370416972215429e-08, 5.2579476191358e-06, -0.0001108818474602327, -0.00028025259193945214, 0.05743124575295599, -0.050517397116212594]",44.047804608653394,12.051135450898087,9.64090836071847,13.256248995987898
