Marca,Modelo,Diameter,Rotation,min_flow,max_flow,flowxhead,flowxeff,flowxnpsh,flowxpower,eff_bop,eff_bop_flow,p80_eff_bop_flow,p110_eff_bop_flow
SCHNEIDER,BC21-RF2,145,3500,23.311477706793433,89.24214504278007,"[9.439999967872558e-10, -2.6938220225470385e-07, 2.9699713005657054e-05, -0.004331418861333724, 0.1292221942260929, 36.156531944878076]","[-5.195876583621036e-09, 8.333452290216472e-07, -3.48525430662632e-05, -0.008413866779666625, 0.9511670669329054, 40.8287332188199]","[-2.0655005906083324e-11, 4.3268421767522376e-09, -2.857156272203911e-07, 0.000696711021449282, 0.022395848943493085, 0.08044976559240909]","[9.786697270785576e-10, -2.689981063134392e-07, 2.3960828814190328e-05, -0.001227619905606746, 0.12841965184377818, 5.713615337597226]",66.96281848646913,56.55577103743315,45.24461682994652,62.21134814117647
SCHNEIDER,BC21-RF2,137,3500,20.661402162228804,85.50794768452994,"[1.3379084485459032e-09, -3.4131012333491095e-07, 3.3025591285553346e-05, -0.0040358483259793415, 0.0944375751469161, 31.69053791734545]","[-3.8175079444953314e-08, 9.545812093099221e-06, -0.0009037809225840046, 0.03224476621378016, 0.01866830277218705, 48.69956346071359]","[-2.0655005906083324e-11, 4.3268421767522376e-09, -2.857156272203911e-07, 0.000696711021449282, 0.022395848943493085, 0.08044976559240909]","[1.1061256382730454e-09, -2.871829672814891e-07, 2.3346964633444005e-05, -0.0012012949920455836, 0.1188431873289254, 4.55175752038369]",65.06676208768067,49.88499159193747,39.90799327354998,54.87349075113122
SCHNEIDER,BC21-RF2,127,3500,14.07636596058336,80.04718595633614,"[-6.150069624115265e-11, 1.78922722659262e-08, -2.1879517404573985e-06, -0.0021916732055429064, 0.0038296939734046623, 25.498431139187915]","[-7.976372274459307e-09, 1.1396327595200535e-06, -2.28490297285613e-05, -0.013526657477440652, 1.019612804612173, 40.950116122289536]","[-2.0655005906083324e-11, 4.3268421767522376e-09, -2.857156272203911e-07, 0.000696711021449282, 0.022395848943493085, 0.08044976559240909]","[1.1021303953757015e-09, -2.527637056809228e-07, 1.7991380807584987e-05, -0.0008185867698450738, 0.08372537447031582, 3.192736840038438]",60.85735275220338,40.64234537227478,32.51387629781983,44.70657990950227
SCHNEIDER,BC21-RF2,116,3500,7.571635078470187,77.39711041177154,"[-1.6160512848791112e-10, 2.715615976657903e-08, -1.328091522089211e-06, -0.0017933928744475046, -0.039235721298134095, 19.416632061866448]","[-9.195504145272027e-10, -2.203221089611828e-06, 0.0002658004937138426, -0.021115378807260072, 0.9598601125687805, 40.960140595412234]","[-2.0655005906083324e-11, 4.3268421767522376e-09, -2.857156272203911e-07, 0.000696711021449282, 0.022395848943493085, 0.08044976559240909]","[4.2882147872094773e-10, -9.375421883749561e-08, 6.345319576574898e-06, -0.0005371428535005103, 0.060957460886250224, 1.9829398225179344]",56.85045886491412,38.87418696503496,31.09934957202797,42.76160566153846
SCHNEIDER,BC21-RF2,108,3500,4.1185063385829395,76.27283593831987,"[-1.0821323475619147e-10, 2.102574733826829e-08, -1.9058087107159735e-06, -0.001565796349851257, -0.055184951632935075, 14.455103545576817]","[-9.318162079809294e-09, -1.152006434243418e-07, 7.350137213672383e-05, -0.01729806264927726, 0.8503005033978166, 38.54653277059161]","[-2.0655005906083324e-11, 4.3268421767522376e-09, -2.857156272203911e-07, 0.000696711021449282, 0.022395848943493085, 0.08044976559240909]","[7.53520512084638e-10, -1.2693676342349115e-07, 5.478750667236416e-06, -0.00032851636986186157, 0.044784518532042, 1.1473641377966879]",50.30034156488796,27.702640664747015,22.162112531797614,30.472904731221718
