Marca,Modelo,Diameter,Rotation,Stages,min_flow,max_flow,flowxhead,flowxeff,flowxnpsh,flowxpower,eff_bop,eff_bop_flow,p80_eff_bop_flow,p110_eff_bop_flow
SCHNEIDER,BC21-RF212,145,3500,1,29.416246220545347,147.59530122997768,"[1.286586849827785e-11, -6.620361427650198e-09, 1.2773364581809044e-06, -0.0008955269101606681, -0.014442682334324544, 35.101959541947295]","[-5.12819859691445e-11, -1.465029334409692e-07, 4.845433976890478e-05, -0.008737148384155962, 0.8158027059423912, 34.619728787329656]","[9.705850933782512e-13, -4.180892248604706e-10, 5.89571557583352e-08, 0.0002092520496512484, 0.00616228442128107, 1.7078972070286522]","[-1.622804555758908e-11, 6.653362246425558e-09, -2.0153682990250613e-06, -2.995086539185435e-05, 0.08121539666612948, 9.971944677459426]",62.6929488424571,86.53139765665563,69.2251181253245,95.1845374223212
SCHNEIDER,BC21-RF212,134,3500,1,22.423402728862953,147.45544436014399,"[1.4248362573779636e-12, 2.435436794680076e-10, -1.8193161631104463e-07, -0.0006043630721962541, -0.05019385268322925, 29.67132907540668]","[5.976963387239558e-10, -4.5017231385464564e-07, 9.877549626050318e-05, -0.013493598643451352, 0.9921261256123974, 33.56612781124027]","[9.705850933782512e-13, -4.180892248604706e-10, 5.89571557583352e-08, 0.0002092520496512484, 0.00616228442128107, 1.7078972070286522]","[-1.34962618499547e-11, 5.343674410047227e-09, -8.35238999616768e-07, -8.461735258759696e-05, 0.04033090425528293, -15.626557009387666]",61.00312196251639,70.59932679216826,56.479461433734606,77.65925947138508
SCHNEIDER,BC21-RF212,128,3500,1,18.087839764019876,111.02272976847878,"[4.989515295962622e-12, 3.944559243616109e-10, -3.092185125146968e-07, -0.0004000401146083932, -0.07928643144337383, 26.17975920795205]","[1.750439305073323e-09, -7.925116975884063e-07, 0.0001335342979037228, -0.014095914282257871, 0.8333051742837256, 33.428044530882254]","[9.705850933782512e-13, -4.180892248604706e-10, 5.89571557583352e-08, 0.0002092520496512484, 0.00616228442128107, 1.7078972070286522]","[7.907707507491567e-11, -2.5267157241008873e-08, 3.5525075256198434e-06, -0.00048326209740151284, 0.07103858464790665, 7.257586504130944]",52.68009404639099,58.440641132427885,46.75251290594231,64.28470524567068
SCHNEIDER,BC21-RF212,118,3500,1,12.073994361173035,110.18358854947688,"[2.0084041772111042e-10, -5.8790580322697264e-08, 6.307228865988569e-06, -0.0005337918030032648, -0.08460882059161032, 19.898107351617373]","[-1.3667606837181744e-09, 2.247617365286269e-07, -5.056958634896397e-06, -0.0061543874574999, 0.6208876463827947, 34.88414853311863]","[9.705850933782512e-13, -4.180892248604706e-10, 5.89571557583352e-08, 0.0002092520496512484, 0.00616228442128107, 1.7078972070286522]","[-1.5800344052946184e-10, 5.3342847914736725e-08, -5.991701800198958e-06, 0.00014035107942386732, 0.0332983495371349, 5.512610527441877]",50.99026716645028,53.26970585184864,42.615764681478915,58.59667643703351
SCHNEIDER,BC21-RF212,116,3500,1,10.115998183501958,86.19813537300631,"[5.3692377540627186e-11, -1.1335771774906644e-08, 1.06727795540621e-06, -0.0008045581536492535, -0.10038840327396573, 17.1979872689424]","[-4.5692230760157015e-09, 2.5364621905508223e-07, 3.7227236446377508e-06, -0.010429933399193094, 0.6877277047546057, 38.274834939433944]","[9.705850933782512e-13, -4.180892248604706e-10, 5.89571557583352e-08, 0.0002092520496512484, 0.00616228442128107, 1.7078972070286522]","[6.987531048488809e-10, -1.5389795120893677e-07, 1.213675269679693e-05, -0.0007589195986062322, 0.04157348469057075, 4.30402379433467]",50.10752178140672,33.843759797780706,27.075007838224565,37.22813577755878
