Marca,Modelo,Diameter,Rotation,Stages,min_flow,max_flow,flowxhead,flowxeff,flowxnpsh,flowxpower,eff_bop,eff_bop_flow,p80_eff_bop_flow,p110_eff_bop_flow
SCHNEIDER,BC22-R1B,191,3500,1,8.267501360181654,17.29742178765263,"[0.0003017751062387801, -0.01805411642441221, 0.4153980984501881, -4.961220221117733, 30.018271003818764, -6.0020043340673475]","[-1.937976864327861e-05, 0.0016432566787031512, -0.06711309206436253, 0.9446701309787325, -3.022973263657458, 24.103279556509396]","[-1.5243098355518606e-06, 9.49671208978537e-05, -0.002323552843551261, 0.03698494969108515, -0.06584415056997324, 1.9757406431838227]","[3.8021281254098223e-07, -1.4674209557722714e-05, 0.00012377325002536262, -0.006213110576033305, 0.36201436747308685, 3.5055212556907174]",37.147987704328585,11.85134295615255,9.48107436492204,13.036477251767806
SCHNEIDER,BC22-R1B,170,3500,1,7.617640574919669,16.647561002390646,"[0.00018118712193687731, -0.013282388421369922, 0.35636045600240496, -4.711412881312437, 29.909144633824443, -21.93791911797123]","[9.816765003814703e-06, -0.0043145204089737365, 0.16238110167780767, -2.580962395403394, 20.98907731692861, -31.121653637652734]","[-1.5243098355518606e-06, 9.49671208978537e-05, -0.002323552843551261, 0.03698494969108515, -0.06584415056997324, 1.9757406431838227]","[4.924194744432622e-06, -0.00029414267337544373, 0.006901928877775368, -0.09263245220393873, 0.8694653307787641, 0.41043236795800975]",42.797391612874634,12.519916630732467,10.015933304585975,13.771908293805716
SCHNEIDER,BC22-R1B,154,3500,1,8.466652245987746,15.992459404344286,"[-9.849438825107384e-06, 0.0006909175331651243, -0.018884643118172287, 0.07535458954391681, 0.4333852961636154, 39.2828020131668]","[-4.389029025968909e-07, -0.00040415132561491925, 0.011294038894405911, -0.39385680250672644, 7.156955578979768, 0.49015856421305304]","[-1.5243098355518606e-06, 9.49671208978537e-05, -0.002323552843551261, 0.03698494969108515, -0.06584415056997324, 1.9757406431838227]","[4.704073868847525e-06, -0.00028687658910091045, 0.006950297076011049, -0.09012126004203314, 0.7564668496332846, 0.42561377157297414]",40.73826308546066,11.483633199125666,9.186906559300533,12.631996519038234
SCHNEIDER,BC22-R1B,140,3500,1,9.022178401131056,14.59316239091727,"[-1.1003966711623589e-05, 0.0006270877792817337, -0.011164874214879798, -0.10149171531998552, 1.872737101261221, 27.730583640864204]","[-0.0002947293816240732, 0.015946578697146885, -0.3457266952778587, 3.3810989613407916, -12.304562857540446, 38.68687042657734]","[-1.5243098355518606e-06, 9.49671208978537e-05, -0.002323552843551261, 0.03698494969108515, -0.06584415056997324, 1.9757406431838227]","[-3.857180830389183e-06, 0.0002809813465980569, -0.007864465960948043, 0.10064377999231701, -0.4903428775020847, 3.2153356069538264]",38.30954738645954,10.719788969887896,9.022178401131056,11.791767866876686
