Marca,Modelo,Diameter,Rotation,Stages,min_flow,max_flow,flowxhead,flowxeff,flowxnpsh,flowxpower,eff_bop,eff_bop_flow,p80_eff_bop_flow,p110_eff_bop_flow
SCHNEIDER,BC22-R1A,186,3500,1,4.376452351861055,11.083788131353778,"[1.3160582936224087e-05, -0.0004178321044465715, 0.004418014589171072, -0.3130912371340719, 0.2737325887183818, 59.609518681013554]","[-1.595216714795535e-05, -0.0008175514586534557, 0.020981390976757715, -0.5276440127372709, 6.490065892693621, 0.8128560021419491]","[-8.88470104447269e-07, 1.5566591612067105e-05, 2.104161117309778e-05, 0.01630535780031362, 0.1801448007004329, 1.572537106126555]","[-7.2638683860024965e-06, 0.000296744261933261, -0.004746729739488083, 0.018192591938128718, 0.2468932651012364, 3.2209469326539057]",25.839820166762365,8.188868615753417,6.551094892602734,9.00775547732876
SCHNEIDER,BC22-R1A,169,3500,1,4.340446457017702,10.880723343839406,"[8.380925269037952e-06, -0.00018055243088936003, 0.0005763578789121833, -0.23345518743276317, 0.1397725794127304, 49.72844752203318]","[-6.725167529874217e-05, 0.0013746977658686155, -0.015550784020129728, -0.29740323217822684, 6.396735279090341, 0.8709596925440157]","[-8.88470104447269e-07, 1.5566591612067105e-05, 2.104161117309778e-05, 0.01630535780031362, 0.1801448007004329, 1.572537106126555]","[5.048370680772889e-06, -0.00018296083315905083, 0.0025801857325927604, -0.027360609005068575, 0.28355585964978214, 2.468667139163962]",28.487435019875093,8.111975359668559,6.489580287734848,8.923172895635416
SCHNEIDER,BC22-R1A,155,3500,1,4.542194166795908,10.282665287494286,"[3.2040185978530733e-06, -0.00043509176379028804, 0.010834976834316933, -0.29850756586879584, 0.2058337984057373, 41.918429285872875]","[-3.3588043427437066e-05, -6.839704145300595e-05, 0.007103206636404642, -0.498595775325972, 7.199428097153431, 0.9786273724294187]","[-8.88470104447269e-07, 1.5566591612067105e-05, 2.104161117309778e-05, 0.01630535780031362, 0.1801448007004329, 1.572537106126555]","[6.620258802276042e-06, -0.0002482092827244608, 0.0036115602373638276, -0.03427123313615824, 0.2749724409567797, 1.8494154494036847]",28.944339392399073,7.895276183429407,6.316220946743526,8.684803801772349
