Marca,Modelo,Diameter,Rotation,Stages,min_flow,max_flow,flowxhead,flowxeff,flowxnpsh,flowxpower,eff_bop,eff_bop_flow,p80_eff_bop_flow,p110_eff_bop_flow
SCHNEIDER,BC23-RF112,240,3500,1,24.640120988560504,65.96870670568823,"[-3.933704240986717e-09, 1.0169174696601388e-06, -0.00010198366761467878, -0.0046374737368530166, -0.006471804626814784, 103.02942608423535]","[1.695160493001732e-08, -4.86417776759836e-06, 0.0005588219825728774, -0.046515845681124476, 2.4120293207537893, 1.6529495722595406]","[-6.347190643768682e-11, 1.281856872845424e-08, -1.0410903268788267e-06, 0.0011471519546026787, -0.05468736138038986, 2.325035921775336]","[1.4750142341979606e-10, -7.11233160443664e-08, 1.0070510116504442e-05, -0.0018961129908252258, 0.41770552651756454, 13.436482363291427]",50.80127566403269,51.64587654901968,41.316701239215746,56.810464203921654
SCHNEIDER,BC23-RF112,225,3500,1,24.166162138100532,58.46053268374912,"[1.1195411869484914e-08, -2.4071817160373764e-06, 0.00020255913707908603, -0.018624721495895235, 0.2889639937000977, 86.87186528197589]","[1.8650841004805947e-08, -5.1320424871316245e-06, 0.0005460534718705451, -0.0444149914446573, 2.282392907194268, 2.798616482984002]","[-6.347190643768682e-11, 1.281856872845424e-08, -1.0410903268788267e-06, 0.0011471519546026787, -0.05468736138038986, 2.325035921775336]","[-1.3535468012738026e-08, 2.8353076532837614e-06, -0.0002316085660473242, 0.007361571370126892, 0.21352782695568961, 12.839273275707985]",47.92257219583652,48.805457407644674,39.044365926115745,53.68600314840915
SCHNEIDER,BC23-RF112,209,3500,1,23.121688621277098,61.91558281608797,"[1.0256006971631685e-08, -2.1997298168781555e-06, 0.0001847162585592618, -0.017139590111722603, 0.2483280936485275, 78.9958277644308]","[1.3682460989855731e-08, -4.531555684469596e-06, 0.0005579898153033294, -0.05201498311815946, 2.679125332439429, 4.410963085008481]","[-6.347190643768682e-11, 1.281856872845424e-08, -1.0410903268788267e-06, 0.0011471519546026787, -0.05468736138038986, 2.325035921775336]","[-1.3347565141627706e-08, 2.8737489485031e-06, -0.00024112773575345236, 0.008728862683425596, 0.11099398186793567, 9.894813922535715]",54.405570143390634,43.56160668510621,34.84928534808497,47.91776735361684
SCHNEIDER,BC23-RF112,193,3500,1,23.083579197599537,53.9691386364092,"[-1.3010140356833888e-08, 2.958045717362306e-06, -0.0002576551224921782, 0.0011696390846000567, -0.12198900361573393, 69.9906833921302]","[-1.925004554141637e-08, 1.4180770168117897e-06, 0.00013118801401380234, -0.039702039952668904, 2.5184292412923996, 7.079978142574992]","[-6.347190643768682e-11, 1.281856872845424e-08, -1.0410903268788267e-06, 0.0011471519546026787, -0.05468736138038986, 2.325035921775336]","[-2.279741207949953e-08, 4.193162829146279e-06, -0.00030348104621703305, 0.009787414696404364, 0.07231339879936807, 7.888227145606485]",54.45289129629248,41.94475271232352,33.555802169858815,46.13922798355588
