Marca,Modelo,Diameter,Rotation,Stages,min_flow,max_flow,flowxhead,flowxeff,flowxnpsh,flowxpower,eff_bop,eff_bop_flow,p80_eff_bop_flow,p110_eff_bop_flow
SCHNEIDER,ME-1,104,3500,6,0.6607820906267384,6.144970392874312,"[0.00040148052713349024, -0.006145319081928041, 0.03388268052400844, -1.059724243759013, -1.8188911148991953, 107.98256524458793]","[0.00242796247483732, -0.06669300181432254, 0.6938941859301856, -4.863677824184092, 21.961471488886357, -1.0977769578981582]","[2.8720501508135004e-05, -0.0005928563623486617, 0.004283844857744052, 0.16522805249856448, -0.567793486607356, 2.042025275535216]","[-1.8622929540555936e-05, 0.00024328216381629982, -0.0010590576339145517, -0.023473782213272166, 0.47716443671041553, 1.6932113231158878]",39.84102513081609,4.855102253865255,3.884081803092204,5.340612479251781
SCHNEIDER,ME-1,107,3500,4,0.6607820906267384,8.005629942166982,"[-5.882856783719123e-05, 0.0013421808728769525, -0.011758118802298793, -0.6046279945267652, -1.3870140211882394, 76.26422835889005]","[0.0020452265693162545, -0.059905877714528426, 0.6507158827595065, -4.645527431526285, 20.85540652151781, 0.20318053872623734]","[2.8720501508135004e-05, -0.0005928563623486617, 0.004283844857744052, 0.16522805249856448, -0.567793486607356, 2.042025275535216]","[1.4551287975382559e-05, -0.0003426299222460494, 0.0029141923739090785, -0.029592059839496705, 0.3631889489757469, 1.2711656571454684]",38.642819917357144,4.649304917425359,3.719443933940287,5.114235409167895
SCHNEIDER,ME-1,107,3500,3,0.6607820906267384,7.500820320128772,"[4.826218672319387e-05, -0.0009220471448972108, 0.005517447312930012, -0.552326708088709, -0.420759023169553, 56.1029348134475]","[0.003790001931123553, -0.09551056353334954, 0.9179190757950202, -5.629607323023961, 22.99733183279587, -1.3776997357200036]","[2.8720501508135004e-05, -0.0005928563623486617, 0.004283844857744052, 0.16522805249856448, -0.567793486607356, 2.042025275535216]","[-7.3060596697260635e-06, 0.00015516639352911938, -0.0013062712977157302, -0.005760364566702996, 0.22153630693372342, 0.9945929907806436]",39.791938626040974,4.786464960221833,3.8291719681774667,5.265111456244017
SCHNEIDER,ME-1,107,3500,2,0.6607820906267384,8.299000979058297,"[0.0003150368741719587, -0.007458256616171312, 0.06466859120764509, -0.5982134284370701, -0.09879933692668362, 38.11966750298926]","[0.0020043684266097977, -0.058593349239262967, 0.6360863184839448, -4.573545242653992, 20.70423558078668, 0.2945454183176685]","[2.8720501508135004e-05, -0.0005928563623486617, 0.004283844857744052, 0.16522805249856448, -0.567793486607356, 2.042025275535216]","[-1.856994538299093e-06, 3.6276120171434194e-05, -0.00025865040725565636, -0.009107007773778117, 0.1661812137849493, 0.6641524513438171]",38.642819917357144,4.649304917425359,3.719443933940287,5.114235409167895
SCHNEIDER,ME-1,107,3500,9,0.6587777926697931,5.093008767969427,"[0.0010699402345930454, -0.01448850428485715, 0.07207348888942826, -1.6257479584202588, -2.8012566341170904, 171.65911572675293]","[-0.0003035663651743624, -0.02028312634864561, 0.35056959578338487, -3.2702182174636314, 17.136656192639762, 0.3515719104848729]","[-8.412445690860147e-05, 0.0015704172526950387, -0.010579719239079615, 0.2081440009999916, -0.6116394598242949, 2.038406797840377]","[-1.7740777099867426e-05, 6.225173902429773e-05, 0.0007951671933566429, -0.047020311511924096, 0.8133772475097449, 3.466998921655381]",34.5553620196456,4.872299901192137,3.8978399209537096,5.093008767969427
SCHNEIDER,ME-1,99,3500,8,0.6587777926697931,7.005677579642172,"[1.1199276483924128e-05, -0.00032455569759036316, 0.005533939510122191, -1.3458847548386905, -2.3044012104726748, 130.54718734310276]","[0.0019971292580603962, -0.05344692302647878, 0.538117299070418, -3.9852786623998258, 18.699595328870156, 0.2360246137816015]","[-8.412445690860147e-05, 0.0015704172526950387, -0.010579719239079615, 0.2081440009999916, -0.6116394598242949, 2.038406797840377]","[-9.939258051309402e-06, 0.00010829469810461965, -5.168271733522297e-05, -0.03733951531182596, 0.6209659648787013, 2.438099857894505]",34.67488115794336,4.611866832045968,3.6894934656367746,5.073053515250566
