Marca,Modelo,Diameter,Rotation,Stages,min_flow,max_flow,flowxhead,flowxeff,flowxnpsh,flowxpower,eff_bop,eff_bop_flow,p80_eff_bop_flow,p110_eff_bop_flow
SCHNEIDER,BC23-RF2,225,3500,1,40.41380215708829,106.40689936898204,"[-9.260746227605844e-10, 3.105936143508264e-07, -3.970940164621251e-05, -0.0010136972735454847, -0.027136687656789133, 88.55966191888056]","[1.957548417819018e-09, -1.0504481114208e-06, 0.00019653818402327902, -0.02291209238588619, 1.7446187602147738, 7.317587378468356]","[-1.687623813300086e-11, 6.542705331228517e-09, -1.0003154574496227e-06, 0.0006264321942245595, -0.030267708503672046, 2.0562529304210218]","[3.0370314945615606e-10, -8.957772863865844e-08, 9.824714275044338e-06, -0.0021560391103059434, 0.3919630305145216, 11.904386954088396]",64.66350553009897,84.81640880254598,67.85312704203679,93.29804968280058
SCHNEIDER,BC23-RF2,207,3500,1,37.269402051697284,107.90048941904277,"[-7.283608621166417e-10, 2.456698745441504e-07, -3.189213328420524e-05, -0.0014303796010700094, -0.021275271351445413, 75.03054221282135]","[7.35417378454255e-10, -6.864901966059038e-07, 0.00014632997398545053, -0.020060939405162292, 1.671703290553137, 10.11185639197752]","[-1.687623813300086e-11, 6.542705331228517e-09, -1.0003154574496227e-06, 0.0006264321942245595, -0.030267708503672046, 2.0562529304210218]","[-6.313892789748666e-10, 2.0717421096091652e-07, -2.6477384411937084e-05, 0.00011045671699060328, 0.27308907223138135, 9.922100796339684]",64.72992994525407,81.19595225566705,64.95676180453364,89.31554748123376
SCHNEIDER,BC23-RF2,192,3500,1,35.46137199109745,109.90504448622954,"[-5.865102772343146e-10, 1.8824557996436293e-07, -2.2668911310097396e-05, -0.0031339668173768114, 0.16174235095024786, 61.74752157501923]","[7.147805158140834e-10, -7.735821917664206e-07, 0.00015594595796618896, -0.021946059588305027, 1.8558279174868368, 8.631806290418199]","[-1.687623813300086e-11, 6.542705331228517e-09, -1.0003154574496227e-06, 0.0006264321942245595, -0.030267708503672046, 2.0562529304210218]","[6.991526691521422e-10, -2.386398993357704e-07, 3.1548562686431646e-05, -0.0032563141296514005, 0.3356288383741355, 6.776994710608804]",67.32048213630338,71.82998858004548,57.46399086403639,79.01298743805003
SCHNEIDER,BC23-RF2,177,3500,1,35.46137199109745,109.90504448622954,"[4.749664405660363e-10, -1.8395833880631527e-07, 2.801843492052284e-05, -0.006483882950110675, 0.25487681248696875, 51.222886689768025]","[3.298104849014961e-10, -8.413356716977607e-07, 0.0001704952355904868, -0.02415024397604572, 1.9663668773327956, 10.916694289562054]","[-1.687623813300086e-11, 6.542705331228517e-09, -1.0003154574496227e-06, 0.0006264321942245595, -0.030267708503672046, 2.0562529304210218]","[1.1976917643389627e-09, -4.1694978038891595e-07, 5.6279309492613294e-05, -0.004820275670282756, 0.34871461146197014, 4.093982945155384]",69.04751693033626,66.63542049104528,53.308336392836225,73.29896254014982
