Marca,Modelo,Diameter,Rotation,Stages,min_flow,max_flow,flowxhead,flowxeff,flowxnpsh,flowxpower,eff_bop,eff_bop_flow,p80_eff_bop_flow,p110_eff_bop_flow
SCHNEIDER,BC22-RF2,192,3500,1,28.828089980585016,94.03007599254256,"[-2.159096407715853e-10, 3.4171360993258387e-08, 1.8532605743101538e-07, -0.002422926807728891, -0.005363744192444726, 75.88945448754811]","[-2.113046864726966e-09, -5.68673820768511e-07, 0.0002483868152510148, -0.034257028866217364, 2.4029042579915467, 1.7532050462073936]","[-2.472359971705403e-10, 6.987385470736503e-08, -7.61252789818342e-06, 0.001307975103775794, -0.018729403956635537, 0.8548411646359618]","[-5.750537790202019e-10, 1.7458035930873226e-07, -2.6843243691286812e-05, 0.0015835289966418694, 0.15513009029572486, 11.148766810738946]",71.99088523798059,85.63748946205286,68.50999156964228,94.03007599254256
SCHNEIDER,BC22-RF2,177,3500,1,27.849448539504973,89.8708498679524,"[-1.1650661145998108e-09, 3.4813337110281713e-07, -4.001811405300147e-05, 0.0005403423392161411, -0.1380079080730469, 66.77287964538881]","[-8.658200885623524e-10, -8.696600170167633e-07, 0.0002910222768530167, -0.03873529336976823, 2.6203698735202368, 0.6075614134776258]","[-2.472359971705403e-10, 6.987385470736503e-08, -7.61252789818342e-06, 0.001307975103775794, -0.018729403956635537, 0.8548411646359618]","[1.6682910707873455e-09, -5.00341072436994e-07, 5.386230200102986e-05, -0.003159201420494816, 0.2501324648045073, 7.648294491465549]",72.97296678536361,82.09067640537884,65.67254112430308,89.8708498679524
SCHNEIDER,BC22-RF2,168,3500,1,27.23779763882995,84.39657430691094,"[-3.259010850561718e-09, 9.012519581855472e-07, -9.597780496650995e-05, 0.0029355133806716707, -0.17158801618957198, 59.38761479891607]","[-8.08864849871569e-09, 3.589861874770572e-08, 0.00029622250314016913, -0.04275995245601324, 2.6972464016942954, 2.9767626717037348]","[-2.472359971705403e-10, 6.987385470736503e-08, -7.61252789818342e-06, 0.001307975103775794, -0.018729403956635537, 0.8548411646359618]","[9.571587106656315e-10, -2.3262410761855113e-07, 1.4552931180959723e-05, -0.0005128286704051557, 0.15663485028853, 6.916712054352046]",71.78313721834184,78.27186257659618,62.617490061276946,84.39657430691094
SCHNEIDER,BC22-RF2,157,3500,1,25.953330747412405,73.90676136033427,"[-5.9554361625379755e-09, 1.4618613336433422e-06, -0.00013972231374636057, 0.004080242265182972, -0.16278533140956153, 50.64303801989612]","[1.1714889988235896e-08, -5.134429207330529e-06, 0.0008312989653317544, -0.07140546262224645, 3.4241771580160565, -3.3570769384209456]","[-2.472359971705403e-10, 6.987385470736503e-08, -7.61252789818342e-06, 0.001307975103775794, -0.018729403956635537, 0.8548411646359618]","[1.9853840099019306e-09, -4.993174025654988e-07, 4.624247887801701e-05, -0.002645710688954391, 0.21124453091102524, 4.850455371731808]",68.03422977304308,70.48335364134479,56.38668291307584,73.90676136033427
SCHNEIDER,BC22-RF2,152,3500,1,25.158184576534868,59.961120824943734,"[-2.4185019031157962e-08, 5.040399740919725e-06, -0.00041049250228850564, 0.014857684687148457, -0.42707997523689656, 48.50204657891417]","[-3.969962560559647e-09, -3.6766532057715977e-06, 0.0008291228549894808, -0.07286547197277687, 3.2645084303801126, 0.3879346847175281]","[-2.472359971705403e-10, 6.987385470736503e-08, -7.61252789818342e-06, 0.001307975103775794, -0.018729403956635537, 0.8548411646359618]","[-9.595739038960412e-09, 1.8664694954714044e-06, -0.00015000689292320293, 0.005517821113636583, 0.041872841010965896, 5.4073566069447185]",62.26450068216769,58.99946339442176,47.19957071553741,59.961120824943734
